iter	RMSE
0	4.385439979
1	4.273967971
2	4.165753963
3	4.06640096
4	3.966553471
5	3.87154358
6	3.77791959
7	3.685362617
8	3.597768423
9	3.512793711
10	3.431626876
11	3.35082001
12	3.273489133
13	3.198358104
14	3.12833655
15	3.058679225
16	2.990401517
17	2.926086427
18	2.862736336
19	2.800930764
20	2.740120091
21	2.681976327
22	2.628618915
23	2.573561594
24	2.523764535
25	2.474028855
26	2.424691713
27	2.376830396
28	2.33044018
29	2.286752629
30	2.244368191
31	2.202554071
32	2.164990612
33	2.127956663
34	2.092234296
35	2.057768298
36	2.025155858
37	1.992915121
38	1.962851755
39	1.933232209
40	1.904744416
41	1.878225787
42	1.850919538
43	1.823967494
44	1.7986649
45	1.773875536
46	1.752822318
47	1.731699765
48	1.710984406
49	1.690440232
50	1.671138255
51	1.653662752
52	1.636393055
53	1.61832813
54	1.601949342
55	1.586162579
56	1.571616651
57	1.556493539
58	1.543694329
59	1.530416335
60	1.516680906
61	1.505078684
62	1.493480767
63	1.481553955
64	1.470561892
65	1.459981002
66	1.450542151
67	1.441361854
68	1.431550358
69	1.42242536
70	1.413797999
71	1.405034094
72	1.396586429
73	1.38894982
74	1.381606793
75	1.374879978
76	1.368449248
77	1.36198321
78	1.355765384
79	1.349594281
80	1.344207943
81	1.338508032
82	1.333120225
83	1.328122184
84	1.323168416
85	1.318441718
86	1.314121665
87	1.30975255
88	1.30581736
89	1.302052302
90	1.298648802
91	1.294733396
92	1.291048977
93	1.287859377
94	1.283931689
95	1.280791548
96	1.278140673
97	1.274918987
98	1.272369556
99	1.269805335
100	1.267292574
101	1.26444849
102	1.262244022
103	1.259812443
104	1.25740061
105	1.254987834
106	1.252662958
107	1.250798922
108	1.248763668
109	1.246722872
110	1.244831461
111	1.243001397
112	1.241152675
113	1.239255547
114	1.237623884
115	1.235795037
116	1.233707104
117	1.232153766
118	1.230886679
119	1.229374052
120	1.227587746
121	1.226333837
122	1.224838241
123	1.223564109
124	1.222272612
125	1.221273527
126	1.219738658
127	1.218050376
128	1.21615591
129	1.214639017
130	1.212998612
131	1.211672867
132	1.210144901
133	1.209041335
134	1.208098943
135	1.206497889
136	1.205258157
137	1.204339598
138	1.20306607
139	1.201840196
140	1.201270831
141	1.200494587
142	1.199623805
143	1.198340206
144	1.196998364
145	1.195890147
146	1.194519023
147	1.193632402
148	1.192776837
149	1.192211461
150	1.190977692
151	1.189755245
152	1.188731121
153	1.187448781
154	1.186687657
155	1.185879931
156	1.185214679
157	1.184523078
158	1.183385678
159	1.182211512
160	1.181496488
161	1.180493248
162	1.179706353
163	1.178903743
164	1.178063187
165	1.176924232
166	1.176216268
167	1.175508719
168	1.174883345
169	1.174563755
170	1.173605311
171	1.172914032
172	1.172623103
173	1.17171143
174	1.171081202
175	1.169940112
176	1.168968522
177	1.167768257
178	1.167038257
179	1.166499385
180	1.166062875
181	1.165631592
182	1.165035929
183	1.164053204
184	1.163653412
185	1.163141148
186	1.162795035
187	1.162171475
188	1.161548679
189	1.160740188
190	1.16016066
191	1.159383472
192	1.158045577
193	1.157251109
194	1.15649816
195	1.155791236
196	1.155291899
197	1.154860793
198	1.154279768
199	1.153741907
200	1.153215315
201	1.152039428
202	1.151268365
203	1.150822113
204	1.150157236
205	1.149657337
206	1.14892277
207	1.148341882
208	1.147909244
209	1.147358669
210	1.146750801
211	1.146086014
212	1.145593295
213	1.145141217
214	1.144695039
215	1.143873104
216	1.143329723
217	1.142932063
218	1.142173368
219	1.141710216
220	1.141053945
221	1.140034065
