iter	Passed	Remaining
0	5	4352
1	9	3700
2	13	3479
3	17	3496
4	21	3383
5	24	3276
6	28	3217
7	32	3234
8	36	3219
9	40	3171
10	43	3140
11	48	3169
12	52	3196
13	56	3164
14	59	3136
15	63	3113
16	68	3155
17	71	3125
18	75	3103
19	79	3081
20	83	3101
21	87	3107
22	91	3102
23	95	3086
24	98	3066
25	102	3045
26	105	3028
27	109	3023
28	113	3025
29	117	3010
30	120	2999
31	124	2987
32	129	3011
33	133	3013
34	137	3003
35	141	2992
36	145	2994
37	148	2986
38	152	2971
39	155	2961
40	159	2961
41	163	2954
42	167	2941
43	170	2927
44	173	2917
45	178	2918
46	181	2910
47	184	2896
48	188	2884
49	191	2877
50	195	2869
51	198	2861
52	202	2851
53	206	2849
54	211	2865
55	215	2858
56	218	2849
57	222	2843
58	226	2846
59	229	2836
60	233	2825
61	236	2814
62	240	2811
63	243	2805
64	247	2800
65	250	2791
66	255	2791
67	259	2788
68	262	2783
69	266	2774
70	270	2778
71	274	2779
72	278	2774
73	282	2767
74	285	2763
75	289	2756
76	293	2751
77	296	2744
78	300	2742
79	304	2742
80	308	2736
81	312	2732
82	315	2728
83	320	2727
84	323	2721
85	327	2718
86	331	2718
87	335	2717
88	339	2711
89	343	2706
90	346	2701
91	351	2702
92	355	2700
93	359	2697
94	362	2689
95	366	2688
96	371	2692
97	375	2690
98	379	2684
99	383	2682
100	386	2677
101	390	2671
102	393	2666
103	397	2663
104	402	2662
105	405	2656
106	409	2649
107	412	2645
108	416	2642
109	420	2636
110	424	2633
111	428	2632
112	432	2630
113	436	2624
114	439	2617
115	443	2614
116	447	2610
117	450	2605
118	454	2602
119	458	2596
120	462	2594
121	465	2587
122	468	2580
123	472	2573
124	476	2573
125	480	2571
126	484	2567
127	488	2563
128	492	2561
129	496	2557
130	500	2554
131	503	2548
132	508	2550
133	512	2548
134	516	2543
135	519	2537
136	523	2533
137	528	2534
138	531	2528
139	535	2522
140	538	2516
141	543	2517
142	547	2514
143	550	2507
144	554	2502
145	559	2505
146	563	2501
147	566	2496
148	570	2492
149	574	2491
150	579	2491
151	583	2487
152	587	2484
153	591	2480
154	595	2476
155	598	2471
156	603	2470
157	607	2467
158	610	2462
159	614	2456
160	617	2450
161	621	2448
162	625	2444
163	629	2439
164	632	2435
165	636	2432
166	640	2427
167	643	2421
168	647	2416
169	651	2413
170	654	2409
171	658	2404
172	661	2398
173	665	2392
174	668	2388
175	671	2381
176	675	2376
177	678	2371
178	682	2367
179	687	2367
180	691	2364
181	694	2359
182	698	2356
183	703	2356
184	708	2354
185	712	2352
186	717	2350
187	721	2349
188	725	2346
189	730	2345
190	735	2344
191	739	2341
192	744	2340
193	748	2337
194	751	2333
195	755	2327
196	758	2321
197	762	2318
198	766	2315
199	770	2310
200	773	2304
201	777	2301
202	781	2297
203	784	2291
204	788	2287
205	794	2291
206	800	2291
207	805	2291
208	810	2292
209	814	2289
210	818	2283
211	821	2278
212	825	2275
213	829	2270
214	832	2265
215	836	2260
216	839	2256
217	844	2254
218	848	2250
219	851	2244
