iter	RMSE
0	7.594186056
1	7.414989326
2	7.250293096
3	7.081201886
4	6.914421873
5	6.755244254
6	6.601888286
7	6.452462163
8	6.308974056
9	6.16658174
10	6.037309028
11	5.925879375
12	5.793569972
13	5.669818366
14	5.55385577
15	5.43796145
16	5.325601472
17	5.210538767
18	5.107385869
19	4.996829462
20	4.891542814
21	4.793525419
22	4.695370717
23	4.605738333
24	4.511549442
25	4.432089098
26	4.343027392
27	4.255967053
28	4.172243492
29	4.095611096
30	4.024200473
31	3.950348525
32	3.87331573
33	3.806018082
34	3.741487033
35	3.671205617
36	3.606161961
37	3.540567058
38	3.475512418
39	3.413166328
40	3.354436222
41	3.300550221
42	3.248143145
43	3.198780798
44	3.151535541
45	3.105709247
46	3.055102449
47	3.009029504
48	2.960570094
49	2.918331133
50	2.873291758
51	2.830568438
52	2.786193459
53	2.74483314
54	2.70916343
55	2.671085442
56	2.632757005
57	2.598931679
58	2.568748493
59	2.532172384
60	2.498708434
61	2.468434661
62	2.436201193
63	2.404874852
64	2.370479652
65	2.339910931
66	2.309602132
67	2.286694385
68	2.25938586
69	2.230693004
70	2.203622704
71	2.180137964
72	2.159557833
73	2.138797005
74	2.119336045
75	2.099839361
76	2.079949713
77	2.062335957
78	2.044692487
79	2.025891055
80	2.008007852
81	1.990179054
82	1.970907812
83	1.951709086
84	1.936268793
85	1.922926318
86	1.90887359
87	1.892623097
88	1.876317472
89	1.865246594
90	1.852093427
91	1.840053748
92	1.827833962
93	1.813973811
94	1.802450176
95	1.791206758
96	1.780699048
97	1.770013469
98	1.761587567
99	1.75136221
100	1.742557828
101	1.734726527
102	1.724338916
103	1.715250824
104	1.706639767
105	1.699413098
106	1.689291072
107	1.680389714
108	1.670889023
109	1.662804697
110	1.6545389
111	1.64630793
112	1.638407448
113	1.630785703
114	1.62513969
115	1.619083923
116	1.612110502
117	1.606295784
118	1.601070024
119	1.59519664
120	1.590895427
121	1.585083382
122	1.581150787
123	1.57529276
124	1.570823519
125	1.564410871
126	1.559684132
127	1.554438492
128	1.549860668
129	1.545714035
130	1.541213182
131	1.537160452
132	1.531418966
133	1.526163522
134	1.520448399
135	1.516007873
136	1.512202643
137	1.507713087
138	1.50257434
139	1.499063678
140	1.49495964
141	1.492522793
142	1.489107084
143	1.485572032
144	1.481674258
145	1.477675374
146	1.474441799
147	1.471443453
148	1.468094962
149	1.465305427
150	1.462653716
151	1.458939522
152	1.456229906
153	1.451475695
154	1.44869259
155	1.444946212
156	1.440975274
157	1.438422222
158	1.435091593
159	1.432843973
160	1.429307926
161	1.427291613
162	1.424942968
163	1.422105722
164	1.418145997
165	1.415140316
166	1.414125053
167	1.410940236
168	1.408104414
169	1.406322753
170	1.403688046
171	1.40141903
172	1.400271362
173	1.398356468
174	1.396978091
175	1.395670061
176	1.393503579
177	1.390920811
178	1.388328983
179	1.385759969
180	1.382889318
181	1.380121568
182	1.379014689
183	1.37699751
184	1.372987015
185	1.371222206
186	1.368899981
187	1.366494038
188	1.36404141
189	1.361999973
190	1.360700286
191	1.360257453
192	1.358819692
193	1.3564333
194	1.354952099
195	1.352130862
196	1.349980952
197	1.349177865
198	1.347364843
199	1.345925458
200	1.344217488
201	1.342939174
202	1.340936296
203	1.338264331
204	1.336054321
205	1.334785013
206	1.332921806
207	1.332121905
208	1.330686984
209	1.329918696
210	1.329554502
211	1.327330182
212	1.326299586
213	1.324469811
214	1.322434465
215	1.3211962
216	1.319301806
217	1.318041627
218	1.315315342
219	1.31352267
220	1.312543092
221	1.310633496
222	1.308197275
223	1.306808401
224	1.30465034
225	1.302719682
226	1.300471311
227	1.298807847
228	1.296810828
229	1.29660857
230	1.294791501
231	1.293475435
232	1.292270918
233	1.290437149
234	1.289023356
235	1.287818973
236	1.286096618
237	1.283646342
238	1.28202074
239	1.280523019
240	1.279371383
241	1.277662954
242	1.276215022
243	1.274105829
244	1.273373899
245	1.271453449
246	1.269186089
247	1.267388166
248	1.266237297
249	1.265384594
250	1.264117571
251	1.26285192
252	1.261417241
253	1.260519586
254	1.258900261
255	1.25791682
256	1.256956204
257	1.255422715
258	1.254279319
259	1.252655217
260	1.25137597
261	1.249536882
262	1.248746458
263	1.247707352
264	1.246586474
265	1.245155974
266	1.243948406
267	1.242097636
268	1.240673826
269	1.239872954
270	1.238904333
271	1.237625599
272	1.236141667
273	1.235161442
274	1.23428424
275	1.232735517
276	1.231487893
277	1.229760479
278	1.228794071
279	1.226903754
280	1.225415697
281	1.22355056
282	1.222526029
283	1.22144653
284	1.220385809
285	1.218988682
286	1.217588974
287	1.216389758
288	1.214754851
289	1.213792749
290	1.213121013
291	1.211122126
292	1.210052422
293	1.208839192
294	1.207819395
295	1.206809049
296	1.205454225
297	1.204076768
298	1.202629658
299	1.201668105
300	1.200802257
301	1.199357282
302	1.198287221
303	1.197455022
304	1.196142694
305	1.195265952
306	1.194345288
307	1.193377322
308	1.191996138
309	1.190632668
310	1.189570344
311	1.18851975
312	1.186783945
313	1.184699111
314	1.183553208
315	1.183018203
316	1.181879802
317	1.181232099
318	1.17965158
319	1.178381704
320	1.176447137
321	1.175759416
322	1.174804458
323	1.173774368
324	1.172518071
325	1.171829819
326	1.170620464
327	1.169282457
328	1.167790693
329	1.166627687
330	1.165134573
331	1.164601833
332	1.163250474
333	1.163019451
334	1.162036617
335	1.16122948
336	1.159812271
337	1.158813975
338	1.158581914
339	1.156993548
340	1.156145491
341	1.15515673
342	1.154014586
343	1.152801979
344	1.151556945
345	1.150781946
346	1.150287846
347	1.149095294
348	1.148047851
349	1.146755686
350	1.145668244
351	1.144950844
352	1.144212372
353	1.143093309
354	1.141592445
355	1.140914568
356	1.139445853
357	1.138294163
358	1.137484036
359	1.136078282
360	1.134403609
361	1.132950824
362	1.131501214
363	1.129984961
364	1.129382608
365	1.12836043
366	1.128244971
367	1.127634604
368	1.126073652
369	1.125502725
370	1.124413348
371	1.123627897
372	1.122609588
373	1.121860114
374	1.120994682
375	1.120122062
376	1.119078481
377	1.117680233
378	1.116707847
379	1.116057399
380	1.115848752
381	1.115379174
382	1.11395362
383	1.11272727
384	1.111916807
385	1.110742605
386	1.109238442
387	1.10842037
388	1.10788129
389	1.106952375
390	1.10640422
391	1.104699622
392	1.104209875
393	1.103346156
394	1.102683696
395	1.101863979
396	1.101477297
397	1.100309019
398	1.099043629
399	1.098364296
400	1.097534381
401	1.096621962
402	1.095756482
403	1.095317199
404	1.094453418
405	1.09399841
406	1.09317454
407	1.092609247
408	1.091579149
409	1.090192875
410	1.089437018
411	1.08871208
412	1.087410372
413	1.086828664
414	1.085930378
415	1.084998041
416	1.084222632
417	1.08361115
418	1.082399925
419	1.081150939
420	1.080281384
421	1.079673943
422	1.07922094
423	1.078648123
424	1.077770028
425	1.076644957
426	1.075919204
427	1.074740233
428	1.07407774
429	1.073393412
430	1.072369052
431	1.071358238
432	1.070979042
433	1.07053057
434	1.069497679
435	1.068324174
436	1.067953163
437	1.067328222
438	1.067066776
439	1.06660168
440	1.06573271
441	1.064649865
442	1.063897633
443	1.063389452
444	1.062271998
445	1.061871296
446	1.061030058
447	1.060149456
448	1.06000412
449	1.059188689
450	1.058257535
451	1.057241214
452	1.056507611
453	1.056246222
454	1.055283928
455	1.054584078
456	1.054194811
457	1.053167469
458	1.052361499
459	1.051473512
460	1.050729599
461	1.049631072
462	1.048851982
463	1.048074785
464	1.047671511
465	1.046824704
466	1.045919379
467	1.045376047
468	1.044300776
469	1.043759431
470	1.043609792
471	1.043376512
472	1.042522286
473	1.04198865
474	1.0416181
475	1.040810611
476	1.040129459
477	1.039573639
478	1.038822023
479	1.038116217
480	1.037629059
481	1.036434188
482	1.035471
483	1.034310688
484	1.034093637
485	1.033471011
486	1.032602061
487	1.03211612
488	1.030946418
489	1.029975644
490	1.029639305
491	1.029062549
492	1.028445881
493	1.027440406
494	1.026520015
495	1.025994385
496	1.025465751
497	1.025058583
498	1.024244771
499	1.023532593
500	1.023244656
501	1.022586372
502	1.021543338
503	1.021184515
504	1.02039169
505	1.019420711
506	1.01920773
507	1.018709004
508	1.017735506
509	1.017355145
510	1.016201378
511	1.015080911
512	1.01422653
513	1.013631847
514	1.012727698
515	1.012028638
516	1.011405742
517	1.011147488
518	1.010992651
519	1.010341713
520	1.009835677
521	1.009191139
522	1.008461522
523	1.008121107
524	1.007320482
525	1.006375778
526	1.006164383
527	1.00559427
528	1.004907356
529	1.003857985
530	1.002948914
531	1.002289728
532	1.001706315
533	1.001306344
534	1.000366074
535	0.9996360681
536	0.9989717222
537	0.9981769592
538	0.9980128538
539	0.997544506
540	0.9969966736
541	0.9964665622
542	0.9961441291
543	0.9953471392
544	0.9945164974
545	0.9940670402
546	0.9933139495
547	0.9926730592
548	0.9916244548
549	0.9907933041
550	0.9903227252
551	0.9901994978
552	0.9896429028
553	0.9892684033
554	0.9888441055
555	0.9884797592
556	0.9883650605
557	0.9881414935
558	0.9876679256
559	0.9869053424
560	0.9861298886
561	0.9852861312
562	0.9846228655
563	0.9842282058
564	0.983421305
565	0.9829804284
566	0.9819046404
567	0.9808212467
568	0.9801911592
569	0.9792281981
570	0.9788010143
571	0.9779102731
572	0.9770864055
573	0.9764607206
574	0.975833921
575	0.9755303799
576	0.9753201508
577	0.9746099506
578	0.9742966122
579	0.9735233141
580	0.9727906846
581	0.9716844385
582	0.971180687
583	0.9705912288
584	0.9701838345
585	0.9693574812
586	0.9687410746
587	0.9681787922
588	0.96778021
589	0.9672237425
590	0.9666104867
591	0.9660186565
592	0.9652982337
593	0.9647329744
594	0.964385276
595	0.9637406631
596	0.9633157283
597	0.9626506732
598	0.9618772317
599	0.9610939759
600	0.9603223017
601	0.9597517684
602	0.9590300404
603	0.9585111275
604	0.9578120267
605	0.9574211997
606	0.9570062509
607	0.9564803472
608	0.9561755591
609	0.9556590639
610	0.95505224
611	0.9546963091
612	0.9540445042
613	0.9536398642
614	0.9531039617
615	0.9526689153
616	0.9521665416
617	0.9515993714
618	0.9511166864
619	0.950550135
620	0.949723177
621	0.9491632311
622	0.948459361
623	0.9475142002
624	0.9470327407
625	0.9467123435
626	0.9461055029
627	0.9453298669
628	0.9447301341
629	0.9442529115
630	0.9439698804
631	0.9433203423
632	0.943181263
633	0.9422668041
634	0.9419015038
635	0.9414063931
636	0.9407642004
637	0.9402396623
638	0.9395070833
639	0.9392449585
640	0.9387510812
641	0.9382736174
642	0.9379427014
643	0.9375049459
644	0.9372793375
645	0.936766653
646	0.9361975997
647	0.9355505809
648	0.9352893504
649	0.9349611416
650	0.9345669478
651	0.9342875336
652	0.9337886625
653	0.9333268819
654	0.9327914936
655	0.9325817655
656	0.9319492859
657	0.9315712479
658	0.9310552078
659	0.9307241065
660	0.9303967467
661	0.9297557855
662	0.9292683601
663	0.9285917787
664	0.9278039864
665	0.9275488091
666	0.9268887443
667	0.9262525791
668	0.9260461019
669	0.9254446472
670	0.9251013622
671	0.9242451339
672	0.9237354945
673	0.9233852315
674	0.922873912
675	0.922628718
676	0.9222944211
677	0.9214556714
678	0.9208696786
679	0.9203563789
680	0.9198865431
681	0.9191775213
682	0.9187141074
683	0.9181246473
684	0.9178403954
685	0.9172202588
686	0.9164643167
687	0.9164100083
688	0.9159657595
689	0.9157749981
690	0.9154624421
691	0.9149774378
692	0.9141354594
693	0.9135563334
694	0.9128272033
695	0.9125383444
696	0.9122047909
697	0.911646623
698	0.9107672137
699	0.9103994989
700	0.9098895904
701	0.9096217098
702	0.909102541
703	0.9086132997
704	0.9080128509
705	0.9078540526
706	0.9072147217
707	0.9065956335
708	0.9064126077
709	0.9056956116
710	0.9055585669
711	0.9050001857
712	0.904484244
713	0.9039710448
714	0.9037267154
715	0.9036180457
716	0.9031889013
717	0.9029384852
718	0.9025136199
719	0.9022993872
720	0.9019369729
721	0.9016463533
722	0.901221951
723	0.9009543381
724	0.9005946276
725	0.8999278443
726	0.8994067365
727	0.8990055433
728	0.8985424255
729	0.8980318903
730	0.8978652826
731	0.8972985545
732	0.8968609305
733	0.8965334645
734	0.8959820933
735	0.8958485342
736	0.895451593
737	0.8947944449
738	0.8942706452
739	0.8937058404
740	0.8930658484
741	0.8921957818
742	0.8917188518
743	0.8910971483
744	0.8907791584
745	0.8901690234
746	0.8898893826
747	0.8895972571
748	0.8891550188
749	0.8888386717
750	0.8884259509
751	0.8881167227
752	0.8879311833
753	0.8873304185
754	0.8869170812
755	0.886672749
756	0.8863396185
757	0.8859961777
758	0.8853858788
759	0.8847361999
760	0.8843747637
761	0.8839080408
762	0.8831957649
763	0.8828072845
764	0.8824642167
765	0.8822761606
766	0.8819661938
767	0.8815899218
768	0.8812786725
769	0.8809591822
770	0.8802021527
771	0.879919634
772	0.8793884514
773	0.8787621743
774	0.8783899883
775	0.8779842083
776	0.8776282799
777	0.8773573663
778	0.8766901729
779	0.8764483837
780	0.876033928
781	0.8753972387
782	0.8750831449
783	0.874668871
784	0.8743109044
785	0.8739385478
786	0.8735742178
787	0.8733728416
788	0.8730507127
789	0.8726619292
790	0.8722948104
791	0.8719442239
792	0.8716190122
793	0.8713504219
794	0.8709255548
795	0.8705098689
796	0.8699409993
797	0.8696587008
798	0.8691766112
799	0.8690444399
