iter	Passed	Remaining
0	1	1473
1	3	1428
2	5	1374
3	6	1316
4	8	1287
5	9	1256
6	11	1274
7	12	1261
8	14	1251
9	15	1241
10	17	1231
11	18	1226
12	20	1230
13	21	1226
14	23	1223
15	24	1218
16	26	1230
17	28	1229
18	29	1227
19	31	1219
20	32	1214
21	34	1209
22	36	1218
23	37	1215
24	39	1211
25	40	1216
26	42	1212
27	43	1208
28	45	1206
29	46	1202
30	48	1197
31	49	1193
32	51	1199
33	53	1203
34	55	1203
35	56	1204
36	58	1205
37	60	1204
38	61	1201
39	63	1197
40	64	1193
41	65	1189
42	67	1192
43	69	1193
44	71	1192
45	72	1189
46	74	1188
47	76	1190
48	77	1189
49	79	1186
50	80	1182
51	81	1179
52	83	1181
53	85	1180
54	87	1179
55	88	1178
56	90	1179
57	92	1180
58	93	1178
59	95	1175
60	96	1172
61	98	1169
62	99	1169
63	101	1170
64	103	1171
65	105	1169
66	106	1167
67	108	1164
68	109	1161
69	111	1157
70	112	1155
71	114	1154
72	115	1154
73	117	1154
74	119	1153
75	121	1153
76	122	1154
77	124	1154
78	126	1152
79	127	1149
80	129	1147
81	131	1149
82	133	1150
83	134	1148
84	136	1146
85	137	1144
86	139	1144
87	141	1142
88	142	1140
89	144	1137
90	145	1135
91	147	1136
92	149	1133
93	150	1130
94	151	1127
95	153	1124
96	154	1121
97	156	1119
98	157	1116
99	159	1114
100	160	1111
101	162	1111
102	163	1109
103	165	1107
104	166	1104
105	168	1102
106	169	1099
107	171	1097
108	172	1094
109	174	1091
110	175	1088
111	176	1086
112	178	1086
113	180	1084
114	181	1082
115	183	1079
116	184	1077
117	185	1074
118	187	1072
119	188	1069
120	190	1067
121	191	1065
122	193	1063
123	194	1062
124	196	1060
125	197	1059
126	199	1057
127	200	1055
128	202	1052
129	203	1050
130	205	1047
131	206	1045
132	207	1042
133	209	1042
134	211	1040
135	212	1038
136	214	1036
137	215	1033
138	216	1031
139	218	1029
140	219	1027
141	221	1025
142	222	1023
143	224	1021
144	225	1019
145	227	1018
146	228	1015
147	230	1013
148	231	1011
149	232	1009
150	234	1007
151	235	1005
152	237	1003
153	238	1001
154	240	999
155	241	997
