iter	RMSE
0	3.311409973
1	3.234500206
2	3.154857211
3	3.079438882
4	3.006316205
5	2.934331409
6	2.865787363
7	2.797172471
8	2.734036215
9	2.67139679
10	2.61167028
11	2.552856076
12	2.498286512
13	2.442566388
14	2.389761639
15	2.338495034
16	2.290682352
17	2.242596434
18	2.196115843
19	2.152844977
20	2.110567546
21	2.070783078
22	2.031279935
23	1.992697678
24	1.958028157
25	1.922091462
26	1.889263089
27	1.8559449
28	1.824157411
29	1.793362338
30	1.764339175
31	1.735509475
32	1.708746837
33	1.680678912
34	1.656515281
35	1.630677102
36	1.607203822
37	1.584620496
38	1.563597924
39	1.542276893
40	1.523039256
41	1.504314059
42	1.485593604
43	1.468632992
44	1.451519505
45	1.434413522
46	1.420059986
47	1.405478617
48	1.390512116
49	1.376507896
50	1.361910612
51	1.349557891
52	1.336471164
53	1.325345093
54	1.314502825
55	1.302358582
56	1.291678761
57	1.280280271
58	1.270690045
59	1.260176026
60	1.250525002
61	1.240833395
62	1.231967682
63	1.223608991
64	1.21496754
65	1.208340035
66	1.200568198
67	1.193214942
68	1.187078592
69	1.182336741
70	1.176266383
71	1.170885883
72	1.164765766
73	1.159508146
74	1.155239367
75	1.150658086
76	1.145303998
77	1.140785694
78	1.135227996
79	1.130856576
80	1.126546839
81	1.122125541
82	1.118333608
83	1.114570204
84	1.111565127
85	1.108206557
86	1.105425276
87	1.102528214
88	1.099041572
89	1.095917278
90	1.093165872
91	1.090391288
92	1.088441843
93	1.085724205
94	1.083164903
95	1.080677403
96	1.078613954
97	1.076497834
98	1.074337269
99	1.072379874
100	1.070000604
101	1.067708757
102	1.065919896
103	1.063550044
104	1.061781408
105	1.059788653
106	1.057973168
107	1.056042532
108	1.054009285
109	1.052505253
110	1.051617388
111	1.049789792
112	1.048261651
113	1.047220754
114	1.045595102
115	1.043979104
116	1.042701702
117	1.041247585
118	1.039416278
119	1.038016328
120	1.036856912
121	1.035500846
122	1.034418862
123	1.033195505
124	1.031883098
125	1.030863459
126	1.029747464
127	1.028939027
128	1.027658485
129	1.02645791
130	1.025481676
131	1.024618918
132	1.023419696
133	1.02263596
134	1.021444944
135	1.020340225
136	1.019365942
137	1.018432499
138	1.017697443
139	1.016980722
140	1.016302452
141	1.015491446
142	1.01476752
143	1.014206514
144	1.013394509
145	1.012663667
146	1.011941676
147	1.011171339
148	1.010451119
149	1.009858464
150	1.009329385
151	1.008435263
152	1.007632413
153	1.006910409
154	1.006259633
155	1.005574782
156	1.004980475
157	1.004304844
158	1.003597934
159	1.003134798
160	1.002509026
161	1.001847337
162	1.000779747
163	0.9999503995
164	0.9996260964
165	0.9986044029
166	0.9980145309
167	0.997150001
168	0.9965640116
169	0.9962506651
170	0.995440759
171	0.9949281354
172	0.9942726335
173	0.9935805031
174	0.9930505605
175	0.9924360032
176	0.9918964922
177	0.99112543
178	0.990585444
179	0.9898228428
180	0.9891652321
181	0.988496308
182	0.9880721846
183	0.9873975327
184	0.9868653338
185	0.9861488864
186	0.9856780628
187	0.9852927572
188	0.9846165789
189	0.9842440351
190	0.9832268711
191	0.9826169802
192	0.9821708158
193	0.9817802395
194	0.9813730326
195	0.9806712969
196	0.980143604
197	0.979827175
198	0.9794627997
199	0.9790886282
200	0.9787870883
201	0.9784907836
202	0.9781304431
203	0.9775196849
204	0.9768968324
205	0.9764185139
206	0.9760632498
207	0.9755324738
208	0.9751569847
209	0.9741371919
210	0.9736744047
211	0.9731376729
212	0.9727362568
213	0.9722591884
214	0.971629701
215	0.971048514
216	0.9705702202
217	0.9700073216
218	0.9696168644
219	0.9692040553
220	0.9687727986
221	0.9682577584
222	0.9677131178
223	0.9670715885
224	0.9667349158
225	0.9660216346
226	0.9655331116
227	0.9652571444
228	0.9646406952
229	0.9642937735
230	0.963773399
231	0.9633089934
232	0.9629823518
233	0.9626750473
234	0.9620947192
235	0.9617250877
236	0.9613266936
237	0.9608552725
238	0.960187068
239	0.9598325404
240	0.9593953841
241	0.9587421268
242	0.9581333895
243	0.9576974827
244	0.9570845863
245	0.9564175961
246	0.956084824
247	0.9556200407
248	0.9552656826
249	0.9546916403
250	0.9539492613
251	0.9536000466
252	0.9533289344
253	0.9529627824
254	0.9526178556
255	0.9521356457
256	0.9516128217
257	0.9514042347
258	0.9509923872
259	0.9503598423
260	0.9501212857
261	0.9495854973
262	0.9492164332
263	0.9488626235
264	0.9485931159
265	0.9482671161
266	0.9480239432
267	0.9474909336
268	0.9469140859
269	0.9464846654
270	0.9456390567
271	0.9449097336
272	0.9445117932
273	0.9442630761
274	0.9437151798
275	0.9434065745
276	0.9428682522
277	0.9425677752
278	0.9421686292
279	0.941512243
280	0.9407878468
281	0.9404832799
282	0.9401145951
283	0.9398111123
284	0.9394270012
285	0.9389203737
286	0.938552728
287	0.938303948
288	0.9381053713
289	0.9377570355
290	0.9371504714
291	0.936475545
292	0.936091075
293	0.9357540539
294	0.9354063047
295	0.9350787936
296	0.9347211536
297	0.9339363146
298	0.933362861
299	0.9330556695
300	0.9326284209
301	0.9320252179
302	0.9313709495
303	0.9309180271
304	0.9301921841
305	0.929738825
306	0.9295294946
307	0.9290521883
308	0.9285913487
309	0.9279579698
310	0.9273378354
311	0.9268988173
312	0.9265614915
313	0.9261654357
314	0.9257146552
315	0.9253546843
316	0.9248831011
317	0.9244404885
318	0.9239838617
319	0.9234108278
320	0.9230397487
321	0.9227384156
322	0.9223282394
323	0.9219820258
324	0.9214310626
325	0.9207284707
326	0.9203871798
327	0.9201248107
328	0.9196017196
329	0.9192966001
330	0.9188156979
331	0.9183572276
332	0.9181031951
333	0.9172103204
334	0.9166584299
335	0.9161504106
336	0.9158160713
337	0.9151979164
338	0.9147567994
339	0.9144148254
340	0.9138146604
341	0.9131917227
342	0.9127245872
343	0.9120809852
344	0.9118564756
345	0.9115953607
346	0.9113148202
347	0.9110991146
348	0.910628683
349	0.9102553794
350	0.909928458
351	0.9094382206
352	0.9090197867
353	0.9084419043
354	0.9080154889
355	0.9073693188
356	0.9069318794
357	0.9061662708
358	0.9059193802
359	0.9055060723
360	0.9050158347
361	0.9045324832
362	0.9041742319
363	0.9037715697
364	0.9033256989
365	0.9029023104
366	0.9026077398
367	0.9021233832
368	0.901627237
369	0.90117925
370	0.9006337261
371	0.9002887742
372	0.899798977
373	0.8995883885
374	0.8992774157
375	0.8987327808
376	0.8982405558
377	0.8977884225
378	0.8974188213
379	0.8971627671
380	0.8966477426
381	0.8962846674
382	0.8958328972
383	0.8954864276
384	0.8950484084
385	0.8947696609
386	0.8942368112
387	0.8936544547
388	0.8929884452
389	0.892513142
390	0.8921036561
391	0.8915659379
392	0.8912428236
393	0.8908978379
394	0.8905205445
