Order,Seasonal_Order,AIC,BIC
"(0, 0, 0)","(0, 0, 0, 12)",6221.8888131433605,6226.178528714269
"(0, 0, 0)","(0, 0, 1, 12)",5442.318464257253,5450.852865354336
"(0, 0, 0)","(0, 0, 2, 12)",4812.956405697667,4825.688906399658
"(0, 0, 0)","(0, 1, 0, 12)",3211.229409412341,3215.4966099608823
"(0, 0, 0)","(0, 1, 1, 12)",2981.642552189331,2990.1308859906585
"(0, 0, 0)","(0, 1, 2, 12)",2853.93553487515,2866.597305385449
"(0, 0, 0)","(0, 2, 0, 12)",3615.7891270283735,3620.0332939290374
"(0, 0, 0)","(0, 2, 1, 12)",3053.4282064673134,3061.869386807513
"(0, 0, 0)","(0, 2, 2, 12)",2893.074554308917,2905.6638866923004
"(0, 0, 0)","(1, 0, 0, 12)",3245.858889649038,3254.39708221645
"(0, 0, 0)","(1, 0, 1, 12)",3119.8574878815216,3132.6590895271456
"(0, 0, 0)","(1, 0, 2, 12)",2965.484162145107,2982.4608297477616
"(0, 0, 0)","(1, 1, 0, 12)",3014.180862854093,3022.673076385056
"(0, 0, 0)","(1, 1, 1, 12)",2959.2406037534192,2971.9731044554105
"(0, 0, 0)","(1, 1, 2, 12)",2850.2708436628,2867.153204343199
"(0, 0, 0)","(1, 2, 0, 12)",3260.9541992214945,3269.3993517576373
"(0, 0, 0)","(1, 2, 1, 12)",2994.3406353516443,3007.0024058619433
"(0, 0, 0)","(1, 2, 2, 12)",2870.0750899615746,2886.8608664727526
"(0, 0, 0)","(2, 0, 0, 12)",3015.8564701189634,3028.594790415408
"(0, 0, 0)","(2, 0, 1, 12)",2980.413733018265,2997.3981600801912
"(0, 0, 0)","(2, 0, 2, 12)",2966.682140600796,2987.902975104115
"(0, 0, 0)","(2, 1, 0, 12)",2881.5764155487095,2894.2441443529237
"(0, 0, 0)","(2, 1, 1, 12)",2850.006843170755,2866.8971482430406
"(0, 0, 0)","(2, 1, 2, 12)",2848.4150921317055,2869.518042982204
"(0, 0, 0)","(2, 2, 0, 12)",3074.286868828727,3086.882304978204
"(0, 0, 0)","(2, 2, 1, 12)",2870.9520386827126,2887.745953548682
"(0, 0, 0)","(2, 2, 2, 12)",2860.6125253671553,2881.594746006128
"(0, 0, 1)","(0, 0, 0, 12)",5516.864087137177,5525.4398042575
"(0, 0, 1)","(0, 0, 1, 12)",4841.302453968128,4854.098357606342
"(0, 0, 1)","(0, 0, 2, 12)",4434.34486054105,4451.313753602871
"(0, 0, 1)","(0, 1, 0, 12)",3124.464285762696,3132.9948881881714
"(0, 0, 1)","(0, 1, 1, 12)",2898.4958202095604,2911.222490005926
"(0, 0, 1)","(0, 1, 2, 12)",2774.2714272791677,2791.1458277579345
"(0, 0, 1)","(0, 2, 0, 12)",3559.0153682453392,3567.4998147762494
"(0, 0, 1)","(0, 2, 1, 12)",3002.7262305195427,3015.382030878618
"(0, 0, 1)","(0, 2, 2, 12)",2813.488883502752,2830.2665050671703
"(0, 0, 1)","(1, 0, 0, 12)",3177.633263220049,3190.4405520711675
