iter	RMSE
0	4.008459908
1	3.674564487
2	3.368671236
3	3.090335598
4	2.84915064
5	2.634775831
6	2.444651317
7	2.276675916
8	2.128628448
9	1.998771949
10	1.881663445
11	1.780539233
12	1.696316532
13	1.622939323
14	1.560232973
15	1.503046792
16	1.456768013
17	1.41630214
18	1.383007486
19	1.352558926
20	1.328120469
21	1.30787473
22	1.290377182
23	1.274525766
24	1.261569562
25	1.249097858
26	1.23989017
27	1.231023266
28	1.223826034
29	1.217396759
30	1.210566695
31	1.205364319
32	1.201239059
33	1.196535144
34	1.192737269
35	1.189637273
36	1.186248516
37	1.183215008
38	1.1805616
39	1.177510618
40	1.174885878
41	1.173254383
42	1.170878918
43	1.168681119
44	1.166205804
45	1.164889066
46	1.163297586
47	1.161345309
48	1.159618368
49	1.157784478
50	1.156475368
51	1.154442526
52	1.152508236
53	1.151501454
54	1.150428747
55	1.148017328
56	1.146476985
57	1.145642212
58	1.144960808
59	1.143744518
60	1.142116827
61	1.140916384
62	1.14014773
63	1.138873087
64	1.137464192
65	1.136447869
66	1.134626906
67	1.133751586
68	1.131982233
69	1.130857997
70	1.129890263
71	1.12950608
72	1.12834289
73	1.127870041
74	1.126875147
75	1.12577991
76	1.124824938
77	1.123876926
78	1.123092947
79	1.12137425
80	1.120359391
81	1.119660691
82	1.118884409
83	1.117446191
84	1.116343746
85	1.115373553
86	1.114527911
87	1.113200028
88	1.112347126
89	1.112237674
90	1.11123641
91	1.109850061
92	1.109114524
93	1.108485212
94	1.107651557
95	1.106441344
96	1.105146511
97	1.104281095
98	1.103060734
99	1.102547931
100	1.101754057
101	1.100217713
102	1.099163041
103	1.098208921
104	1.097137909
105	1.095666655
106	1.093644846
107	1.092827537
108	1.092642263
109	1.091685122
110	1.090748118
111	1.090140474
112	1.089164633
113	1.089019358
114	1.088318688
115	1.086841814
116	1.086320149
117	1.0859593
118	1.085277977
119	1.08441518
120	1.083439185
121	1.081847695
122	1.081747556
123	1.0810551
124	1.080058099
125	1.078758223
126	1.077133265
127	1.076404482
128	1.076024019
129	1.074759295
130	1.072990056
131	1.072134096
132	1.071367396
133	1.069603215
134	1.069553983
135	1.069475129
136	1.069429966
137	1.069390147
138	1.069141325
139	1.068173718
140	1.067215311
141	1.066534764
142	1.065745447
143	1.064925972
144	1.064397772
145	1.06394793
146	1.063740586
147	1.062758058
148	1.062016846
149	1.060833668
150	1.059726318
151	1.058898878
152	1.057826326
153	1.057247434
154	1.056982024
155	1.056507048
156	1.055820954
157	1.054645425
158	1.053567346
159	1.052596074
160	1.051569377
161	1.050606811
162	1.049730483
163	1.048414602
164	1.048087133
165	1.047060219
166	1.045997169
167	1.045172155
168	1.044116476
169	1.043277924
170	1.042505626
171	1.041746052
172	1.041390792
173	1.040270729
174	1.038883239
175	1.038596523
176	1.03726856
177	1.036413648
178	1.035647444
179	1.034825677
180	1.034054511
181	1.033183613
182	1.031940936
183	1.030596205
184	1.029657642
185	1.028911077
186	1.027852405
187	1.026649656
188	1.025621936
189	1.02519666
190	1.024388838
191	1.023491476
192	1.022641366
193	1.021951367
194	1.021040754
195	1.020601956
196	1.01969467
197	1.019237886
198	1.018276327
199	1.017256363
200	1.016300252
201	1.015627486
202	1.014602389
203	1.013885548
204	1.01309339
205	1.012474393
206	1.011868956
207	1.010810918
208	1.010032007
209	1.008814569
210	1.007555885
211	1.006502406
212	1.005850997
213	1.004976742
214	1.004458076
215	1.003680108
216	1.003134911
