iter	Passed	Remaining
0	7	3850
1	14	3594
2	20	3360
3	24	3081
4	30	3005
5	37	3049
6	42	3005
7	50	3098
8	55	3032
9	60	2979
10	67	3018
11	74	3031
12	80	3015
13	85	2985
14	90	2936
15	96	2931
16	101	2890
17	106	2857
18	112	2844
19	117	2831
20	123	2808
21	129	2803
22	135	2803
23	140	2784
24	146	2780
25	151	2756
26	156	2744
27	162	2744
28	168	2739
29	175	2747
30	182	2761
31	189	2764
32	197	2795
33	204	2807
34	211	2807
35	217	2807
36	223	2792
37	231	2815
38	238	2813
39	244	2815
40	251	2815
41	259	2826
42	264	2808
43	269	2790
44	277	2809
45	282	2791
46	288	2785
47	294	2772
48	299	2755
49	305	2748
50	310	2733
51	315	2719
52	321	2709
53	326	2697
54	331	2679
55	336	2667
56	343	2666
57	348	2653
58	353	2645
59	359	2636
60	364	2623
61	370	2616
62	375	2607
63	380	2594
64	387	2594
65	393	2586
66	398	2573
67	403	2565
68	409	2554
69	414	2544
70	420	2540
71	425	2532
72	431	2522
73	436	2513
74	442	2507
75	447	2494
76	453	2490
77	458	2482
78	464	2474
79	470	2472
80	477	2470
81	483	2465
82	489	2456
83	493	2445
84	509	2488
85	520	2507
86	530	2520
87	540	2529
88	550	2539
89	556	2537
90	561	2523
91	568	2521
92	573	2510
93	578	2497
94	593	2528
95	609	2565
96	618	2570
97	623	2558
98	629	2551
99	634	2539
100	639	2526
101	644	2515
102	649	2504
103	654	2491
104	659	2479
105	664	2469
106	669	2457
107	673	2446
108	679	2436
109	684	2425
110	689	2414
111	694	2406
112	700	2397
113	704	2386
114	711	2380
115	716	2371
116	720	2359
117	726	2352
118	731	2342
119	736	2333
120	742	2325
121	747	2315
122	752	2304
123	757	2297
124	762	2288
125	767	2279
126	773	2272
127	782	2274
128	788	2266
129	793	2258
130	800	2255
131	809	2257
132	815	2251
133	822	2246
134	829	2244
135	836	2239
136	841	2229
137	846	2220
138	851	2210
139	856	2202
140	861	2192
141	865	2183
142	871	2176
143	878	2171
144	883	2163
145	889	2155
146	893	2146
147	898	2137
148	904	2131
149	910	2123
150	915	2115
151	922	2110
152	926	2102
153	931	2093
154	938	2088
155	944	2081
156	949	2073
157	954	2066
158	960	2059
159	965	2052
160	971	2045
161	977	2039
162	984	2034
163	990	2028
164	996	2022
165	1001	2015
166	1006	2006
167	1011	1999
168	1017	1992
169	1022	1984
