iter	Passed	Remaining
0	5	4450
1	12	4839
2	17	4631
3	22	4531
4	29	4658
5	34	4530
6	39	4465
7	45	4538
8	52	4580
9	57	4522
10	64	4598
11	70	4655
12	76	4638
13	82	4622
14	86	4532
15	92	4529
16	96	4466
17	101	4423
18	106	4391
19	112	4392
20	117	4359
21	124	4386
22	129	4371
23	134	4352
24	141	4382
25	146	4351
26	153	4386
27	159	4385
28	164	4377
29	173	4463
30	178	4425
31	182	4380
32	187	4350
33	191	4313
34	195	4279
35	199	4243
36	208	4297
37	213	4285
38	218	4269
39	224	4267
40	229	4255
41	238	4303
42	243	4287
43	248	4270
44	254	4270
45	259	4247
46	263	4225
47	269	4225
48	274	4211
49	279	4197
50	286	4200
51	290	4179
52	295	4161
53	301	4167
54	310	4212
55	316	4199
56	321	4189
57	326	4180
58	333	4189
59	338	4170
60	343	4164
61	350	4176
62	355	4154
63	359	4134
64	366	4143
65	370	4118
66	374	4096
67	380	4090
68	384	4070
69	388	4053
70	393	4041
71	398	4031
72	402	4010
73	406	3990
74	411	3975
75	415	3956
76	420	3950
77	426	3945
78	431	3939
79	436	3929
80	441	3922
81	447	3915
82	451	3900
83	455	3884
84	462	3893
85	467	3878
86	471	3864
87	477	3866
88	482	3855
89	487	3843
90	493	3845
91	497	3831
92	502	3820
93	508	3821
94	515	3824
95	521	3824
96	526	3817
97	532	3812
98	537	3806
99	543	3803
100	549	3801
101	556	3808
102	561	3801
103	566	3792
104	573	3796
105	578	3789
106	584	3784
107	590	3783
108	597	3786
109	603	3784
110	608	3776
111	613	3768
112	620	3772
113	625	3763
114	630	3755
115	637	3757
116	641	3746
117	646	3735
118	653	3739
119	657	3726
120	662	3715
121	669	3723
122	675	3716
123	681	3715
124	689	3721
125	695	3718
126	701	3718
127	707	3715
128	712	3708
129	718	3704
130	723	3693
131	727	3683
132	733	3680
133	739	3673
134	743	3664
135	749	3659
136	754	3650
137	758	3639
138	763	3632
139	768	3624
140	772	3612
141	776	3598
142	782	3596
143	787	3586
144	791	3575
145	796	3567
146	800	3558
147	805	3548
148	809	3537
149	815	3533
150	820	3524
151	824	3515
152	830	3510
153	834	3498
154	837	3486
155	841	3475
156	847	3469
157	851	3460
158	856	3453
159	862	3450
160	867	3442
161	871	3432
162	877	3429
163	882	3422
164	887	3414
165	892	3409
166	898	3404
167	902	3396
168	910	3399
169	917	3399
170	923	3395
171	928	3390
172	932	3381
173	936	3370
174	942	3367
175	946	3356
176	951	3347
177	956	3343
178	961	3334
179	965	3324
180	970	3319
181	976	3314
182	980	3304
183	984	3295
184	989	3290
185	994	3282
186	998	3273
187	1004	3270
188	1008	3260
189	1012	3251
190	1017	3242
191	1023	3241
192	1028	3234
193	1033	3227
194	1039	3225
195	1044	3217
196	1049	3211
197	1055	3208
198	1059	3200
199	1064	3194
200	1071	3194
201	1076	3185
202	1080	3177
203	1086	3173
204	1090	3165
205	1095	3157
206	1099	3150
207	1104	3144
208	1109	3137
209	1113	3129
210	1119	3125
211	1124	3118
212	1132	3121
213	1137	3115
214	1143	3110
215	1149	3107
216	1154	3101
217	1159	3094
218	1166	3094
219	1172	3090
220	1177	3084
221	1183	3080
222	1188	3076
223	1193	3069
224	1200	3067
225	1205	3062
226	1211	3057
227	1216	3052
228	1221	3046
229	1230	3049
230	1235	3043
231	1240	3036
232	1248	3038
233	1254	3033
234	1261	3032
235	1266	3026
236	1271	3019
237	1278	3017
238	1283	3013
239	1288	3005
240	1294	3003
241	1298	2995
242	1303	2988
243	1310	2985
244	1314	2978
245	1318	2969
246	1324	2965
247	1328	2957
248	1333	2950
249	1337	2943
250	1346	2944
251	1351	2938
252	1357	2934
253	1361	2926
254	1365	2918
255	1372	2915
256	1377	2909
257	1381	2902
258	1387	2898
259	1392	2892
260	1397	2886
261	1405	2886
262	1409	2878
263	1414	2871
264	1420	2867
265	1424	2860
266	1429	2853
267	1433	2846
268	1438	2840
269	1443	2832
270	1453	2838
271	1458	2831
272	1466	2830
273	1471	2824
274	1475	2817
275	1481	2813
276	1487	2809
277	1492	2802
278	1498	2798
279	1503	2792
280	1508	2785
281	1512	2778
282	1518	2774
283	1523	2767
284	1528	2761
285	1535	2759
286	1540	2754
287	1547	2751
288	1552	2745
289	1559	2741
290	1564	2737
291	1570	2731
292	1574	2724
293	1584	2727
294	1591	2723
295	1598	2721
296	1602	2714
297	1606	2707
298	1612	2702
299	1617	2695
300	1621	2688
301	1627	2683
302	1632	2676
303	1636	2669
304	1640	2662
305	1646	2657
306	1650	2650
307	1654	2643
308	1659	2637
309	1664	2631
310	1668	2623
311	1672	2616
312	1677	2610
313	1682	2603
314	1686	2596
315	1692	2592
316	1696	2584
317	1700	2577
318	1705	2571
319	1711	2566
320	1715	2560
321	1720	2553
322	1726	2549
323	1731	2543
324	1736	2537
325	1742	2533
326	1747	2527
327	1751	2520
328	1757	2515
329	1761	2509
330	1765	2502
331	1771	2497
332	1776	2491
333	1780	2484
334	1786	2479
335	1791	2473
336	1796	2467
337	1800	2461
338	1806	2456
339	1810	2450
340	1815	2443
341	1821	2438
342	1825	2432
343	1830	2426
344	1836	2422
345	1841	2416
346	1846	2410
347	1852	2405
348	1856	2399
349	1861	2392
350	1865	2386
351	1871	2381
352	1876	2375
353	1881	2370
354	1887	2366
355	1892	2360
356	1896	2353
357	1901	2347
358	1905	2341
359	1910	2334
360	1916	2330
361	1921	2324
362	1925	2318
363	1931	2313
364	1936	2307
365	1941	2302
366	1947	2297
367	1952	2292
368	1957	2286
369	1963	2282
370	1968	2276
371	1973	2270
372	1980	2266
373	1984	2260
374	1989	2254
375	1996	2251
376	2001	2246
377	2006	2240
378	2013	2236
379	2017	2229
380	2023	2224
381	2031	2222
382	2035	2216
383	2040	2210
384	2045	2205
385	2050	2199
386	2055	2193
387	2062	2190
388	2068	2185
389	2073	2179
390	2077	2173
391	2081	2166
392	2085	2160
393	2091	2155
394	2096	2149
395	2100	2142
396	2103	2135
397	2108	2129
398	2112	2123
399	2117	2117
400	2123	2112
401	2128	2106
402	2132	2100
403	2137	2094
404	2141	2088
405	2146	2082
406	2150	2076
407	2156	2071
408	2160	2065
409	2164	2059
410	2178	2061
411	2182	2055
412	2190	2052
413	2194	2046
414	2198	2039
415	2204	2035
416	2210	2030
417	2216	2025
418	2222	2020
419	2226	2014
420	2230	2008
421	2237	2004
422	2241	1997
423	2245	1991
424	2252	1987
425	2256	1981
426	2260	1974
427	2267	1970
428	2271	1963
429	2275	1957
430	2279	1951
431	2284	1946
432	2288	1939
433	2293	1933
434	2299	1929
435	2303	1923
436	2307	1917
437	2313	1911
438	2317	1906
439	2322	1900
440	2326	1894
441	2332	1889
442	2336	1882
443	2339	1876
444	2348	1873
445	2354	1868
446	2358	1862
447	2364	1857
448	2368	1851
449	2373	1846
450	2381	1842
451	2386	1837
452	2390	1831
453	2395	1825
454	2400	1820
455	2404	1814
456	2410	1809
457	2414	1803
458	2419	1797
459	2424	1791
460	2428	1786
461	2433	1780
462	2437	1774
463	2443	1769
464	2448	1763
465	2452	1757
466	2459	1753
467	2463	1747
468	2467	1741
469	2472	1735
470	2476	1730
471	2480	1724
472	2485	1718
473	2491	1713
474	2495	1707
475	2500	1701
476	2506	1697
477	2511	1691
478	2515	1685
479	2521	1680
480	2525	1675
481	2530	1669
482	2535	1664
483	2540	1658
484	2545	1653
485	2550	1647
486	2555	1642
487	2560	1637
488	2566	1632
489	2571	1626
490	2577	1621
491	2581	1616
492	2587	1611
493	2594	1606
494	2599	1601
495	2605	1596
496	2609	1590
497	2615	1586
498	2620	1580
499	2624	1574
500	2630	1570
501	2635	1564
502	2640	1559
503	2646	1554
504	2652	1549
505	2656	1543
506	2663	1539
507	2668	1533
508	2673	1528
509	2679	1523
510	2684	1518
511	2689	1513
512	2696	1508
513	2701	1503
514	2706	1497
515	2713	1493
516	2718	1488
517	2722	1482
518	2727	1476
519	2732	1471
520	2736	1465
521	2741	1460
522	2747	1455
523	2751	1449
524	2756	1443
525	2761	1438
526	2766	1433
527	2770	1427
528	2776	1422
529	2781	1416
530	2785	1411
531	2789	1405
532	2795	1400
533	2799	1394
534	2804	1389
535	2810	1384
536	2815	1379
537	2819	1373
538	2829	1370
539	2833	1364
540	2839	1359
541	2843	1353
542	2849	1348
543	2856	1344
544	2862	1339
545	2867	1333
546	2873	1329
547	2880	1324
548	2884	1318
549	2890	1313
550	2896	1308
551	2901	1303
552	2906	1298
