iter	RMSE
0	0.8915990199
1	0.8764084175
2	0.8603995721
3	0.8464007062
4	0.8333194719
5	0.8199063941
6	0.8070249385
7	0.7941900613
8	0.7826165766
9	0.7714354876
10	0.7614949108
11	0.7519627695
12	0.7396766423
13	0.7286809173
14	0.7171086204
15	0.7091729518
16	0.6984729569
17	0.6912781684
18	0.6804796557
19	0.6715745948
20	0.6613816068
21	0.6512886504
22	0.6445394648
23	0.6369233097
24	0.6276303159
25	0.617637406
26	0.6085569402
27	0.6012482119
28	0.5942676949
29	0.5873651126
30	0.5812841582
31	0.5749655988
32	0.5689604725
33	0.5609377245
34	0.5548031502
35	0.5497869465
36	0.5424595288
37	0.535543959
38	0.5286966703
39	0.5216206067
40	0.5162400218
41	0.5099679248
42	0.5025677605
43	0.497649398
44	0.4923489587
45	0.4864974633
46	0.4819892484
47	0.4758963345
48	0.4706106063
49	0.4663287386
50	0.4613063154
51	0.4567779065
52	0.4518105055
53	0.4477585353
54	0.4431397555
55	0.4383149758
56	0.4346131854
57	0.4300706843
58	0.4258738027
59	0.4224763048
60	0.4185000174
61	0.4151585919
62	0.4114924561
63	0.4083251189
64	0.4048488576
65	0.4015136075
66	0.3982402039
67	0.3949063679
68	0.3922824895
69	0.38985505
70	0.3868284931
71	0.3835055041
72	0.3810099634
73	0.3785969661
74	0.3771243714
75	0.3744649545
76	0.3722563379
77	0.3700860769
78	0.3676674823
79	0.3659367366
80	0.3641154554
81	0.3618791943
82	0.3596942064
83	0.3575763996
84	0.3555240106
85	0.3535353076
86	0.3516040018
87	0.3501154234
88	0.3484346078
89	0.3466279423
90	0.344963116
91	0.3432852999
92	0.3415693756
93	0.34064313
94	0.3391106312
95	0.3374353928
96	0.336313071
97	0.3346998893
98	0.3333349551
99	0.3319548728
100	0.3310195416
101	0.3295313843
102	0.328392588
103	0.3268403669
104	0.3259725947
105	0.3245084903
106	0.3232240031
107	0.3227817735
108	0.3214815044
109	0.3201610747
110	0.3190914388
111	0.3180222683
112	0.3167252339
113	0.3159511667
114	0.3151902795
115	0.3148318592
116	0.3139468266
117	0.3127554752
118	0.3122344058
119	0.3114681598
120	0.3106551596
121	0.3096164965
122	0.3089807482
123	0.3080575145
124	0.3070084612
125	0.3061992244
126	0.3054426729
127	0.3044358421
128	0.3036866194
129	0.3027916526
130	0.302139672
131	0.3012717254
132	0.3002292202
133	0.2996002366
134	0.2989356831
135	0.2983434378
136	0.2978221381
137	0.2965220461
138	0.2961205618
139	0.2953866356
140	0.2946900004
141	0.2943978836
142	0.2938102229
143	0.2934768312
144	0.29270774
145	0.2920372705
146	0.291364867
147	0.2908000804
148	0.2902032621
149	0.2899163436
150	0.2894574529
151	0.2887333502
152	0.2879781143
153	0.2872978658
154	0.2864435763
155	0.2856036238
156	0.2849587993
157	0.2841102304
158	0.283493674
159	0.2827524814
160	0.2823677569
161	0.2819866445
162	0.2814621079
163	0.2809500699
164	0.2803989477
165	0.2799620381
166	0.2790965479
167	0.2785940783
168	0.2781054035
169	0.2776365637
170	0.2771505583
171	0.2765713588
172	0.2753658743
173	0.2749563206
174	0.2745985039
175	0.2742852237
176	0.2738488362
177	0.2733666142
178	0.2726246233
179	0.271926835
180	0.271508042
181	0.2709207466
182	0.2704405419
183	0.2698773631
184	0.2694619323
185	0.2688649246
186	0.2681345634
187	0.2671946231
188	0.2661142793
189	0.2658289192
190	0.2656336652
191	0.265133078
192	0.2645081304
193	0.2634797334
194	0.2628359216
195	0.2621401798
196	0.2615718576
197	0.2609752583
198	0.2603848683
199	0.2599144612
200	0.2591530285
201	0.2587393054
202	0.2584114025
203	0.2576160054
204	0.2569114681
205	0.2564067825
206	0.2560438058
207	0.2553988494
208	0.2547185982
209	0.2542637231
210	0.2535768137
211	0.2530921414
212	0.2525152492
213	0.2518847468
214	0.2509171417
215	0.2505880116
216	0.250201267
217	0.2497260782
218	0.2491287736
219	0.2486709776
220	0.2481311724
221	0.247225663
222	0.246885562
223	0.246108193
224	0.2458267206
225	0.2453156085
226	0.2448003447
227	0.244061503
228	0.2431430264
229	0.2427737527
230	0.2424200318
231	0.2419436962
232	0.2412127962
233	0.2405528284
234	0.2398358915
235	0.2393275989
236	0.2389667357
