iter	Passed	Remaining
0	154	123486
1	162	64736
2	162	43205
3	162	32436
4	163	25958
5	163	21643
6	163	18569
7	164	16256
8	164	14466
9	164	13027
10	165	11854
11	167	11021
12	168	10180
13	168	9456114	169	8845115	169	829616	172	7933
17	172	7504
18	172	7106
19	175	6855
20	176	6535
21	176	6244
22	176	5975
23	177	5730
24	177	5504
25	177	5296
26	178	5102
27	178	4930
28	179	4762
29	179	4607
30	179	4462
31	180	4333
32	181	4211
33	181	4088
34	184	4040
35	191	4061
36	191	3953
37	197	3952
38	197	3855
39	197	3761
40	198	3672
41	198	3586
42	198	3502
43	199	3422
44	199	3346
45	201	3295
46	201	3226
47	201	3161
48	202	3096
49	202	3033
50	202	2975
51	203	2920
52	203	2867
53	203	2816
54	204	2764
55	204	2716
56	204	2668
57	209	2675
58	209	2631
59	209	2587
60	210	2553
61	211	2511
62	215	2520
63	215	2480
64	215	2441
65	216	2403
66	216	2368
67	216	2334
68	225	2391
69	226	2357
70	226	2324
71	228	2315
72	229	2284
73	232	2282
74	232	2252
75	233	2222
76	233	2193
77	237	2196
78	237	2169
79	238	2142
80	238	2116
81	238	2090
82	239	2065
83	239	2039
84	239	2014
85	239	1991
86	240	1968
87	243	1971
88	243	1949
89	248	1957
90	248	1936
91	248	1915
92	249	1893
93	253	1900
94	256	1901
95	256	1881
96	257	1862
97	257	1842
98	257	1823
99	257	1804
100	258	1786
101	259	1773
102	260	1761
103	262	1755
104	262	1738
105	263	1722
106	263	1706
107	263	1690
108	264	1675
109	264	1659
110	264	1644
111	266	1638
112	267	1623
113	267	1609
114	271	1619
115	272	1606
116	272	1593
117	273	1580
118	274	1570
119	276	1564
120	276	1551
121	276	1537
122	277	1524
123	277	1512
124	277	1500
125	278	1487
126	278	1475
127	278	1463
128	279	1452
129	279	1440
130	279	1429
131	280	1418
132	280	1406
133	280	1395
134	280	1384
135	281	1373
136	281	1363
137	282	1353
138	282	1343
139	285	1344
140	285	1334
141	285	1325
142	286	1315
143	286	1305
144	287	1296
145	287	1287
146	287	1278
147	288	1269
148	288	1260
149	288	1251
150	289	1243
151	290	1237
152	290	1228
153	293	1230
154	296	1232
155	301	1243
156	301	1234
157	301	1226
158	302	1218
159	302	1209
160	302	1202
161	303	1194
162	303	1186
163	307	1191
164	311	1197
165	313	1198
166	314	1190
167	314	1183
168	314	1175
169	315	1168
170	315	1161
171	315	1153
172	316	1146
173	316	1139
174	317	1132
175	317	1125
176	317	1118
177	317	1111
178	318	1104
179	318	1097
180	319	1091
181	319	1084
182	319	1078
183	323	1081
184	323	1075
185	327	1080
186	327	1074
187	328	1067
188	328	1061
189	328	1055
1190	333	1062
191	333	1056
192	334	1050
193	334	1044
194	337	1045
195	337	1040
196	337	1034
197	338	1028
198	338	1022
199	339	1017
200	339	1011
201	339	1005
202	340	1000
203	340204	3204	344	999
205	344	994
206	345	988
207	350	998
208	354	1001
209	354	996
210	354	990
211	355	985
212	355	980
213	355	974
214	356	969
215	356	964
216	357	959
217	35218	359	952
219	359	947
220	359	942
221	360	937
222	363	940
223	363	935
224	364	930
225	364	925
226	365	921
227	365	916
228	366	913
229	366	908
230	371	913
231	371	909
232	371	904
233	372	900
234	372	895
235	374	893
236	374	889
237	374	885
238	375	880
239	378	882
240	378	878
241	379	874
242	379	869
243	379	865
244	380	861
245	380	856
246	380	852
247	381	848
248	383	849
249	384	845
250	386	845
251	387	841
252	387	837
253	387	833
254	388	829
255	388	825
256	390	824
257	390	821
258	391	817
259	391	813
260	391	809
261	392	805
262	392	801
263	394	801
264	395	797
265	397	798
266	398	794
267	403	801
268	404	798
269	404	794
270	405	790
271	405	786
272	405	783
273	406	779
274	406	776
275	408	775
276	410	775
277	413	775
278	415	776
279	416	772
280	416	769
281	416	765
282	417	762
283	419	761
284	419	757
285	419	754
286	420	751
287	420	747
288	425	751
289	425	748
290	425	744
291	426	741
292	426	738
293	427	734
294	427	731
295	432	736
296	432	732
297	433	729
298	433	726
299	433	722
300	433	719
301	434	716
302	434	712
303	438	715
304	43304	440	715
305	441	712
306	441	709
307	442	706
308	442	703
309	449	711
310	453	712
311	453	709
312	453	705
313	454	702
314	456	702
315	456	699
316	457	696
317	457	693
318	460	694
319	461	691
320	46321	46321	463	688
322	46323	464	681
324	464	678
325	464	675
326	465	672
327	465	670
328	465	667
329	472	672
330	472	669
331	47331	475	670
332	476	668
333	478	667
334	480	666
335	480	663
336	480	660
337	481	657
338	48339	48339	48340	48340	48341	48341	48342	48342	48343	482	639
344	482	636
345	48345	48346	48346	48347	483	628
348	484	625
349	484	623
350	484	620
351	48351	488	621
352	48353	491	619
354	491	616
355	492	613
356	492	611
357	492	608
358	493	605
359	499	610
360	500	608
361	500	605
362	500	603
363	501	600
364	501	597
365	502	595
366	502	592
367	502	590
368	503	587
369	503	585
370	503	582
371	504	580
372	504	577
373	50373	510	581
374	510	578
375	511	576
376	511	573
377	514	574
378	515	572
379	515	569
380	518	570
381	519	568
382	532	579
383	537	582
384	545	588
385	546	585
386	546	583
387	546	580
388	547	578
389	547	575
390	554	579
391	554	577
392	557	576
393	557	574
394	557	572
395	558	569
396	558	567
397	566	571
398	569	572
399	575	575
400	576	573
401	576	571
402	581	573
403	588	576
404	588	574
405	589	571
406	589	569
407	589	566
408	590	564
409	590	561
410	595	563
411	595	561
412	596	558
413	596	556
414	596	553
415	597	551
416	597	548
417	598	546
418	598	544
419	598	541
420	610	549
421	610	546
422	610	544
423	611	541
424	611	539
425	616	541
426	617	539
427	623	542
428	624	539
429	629	541
430	629	538
431	629	536
432	632	536
433	633	533
434	633	531
435	633	529
436	634	526
437	634	524
438	635	522
439	646	529
440	648	528
441	649	525
442	649	523
443	650	521
444	650	518
445	650	516
446	651	514
447	651	511
448	651	509
449	652	507
450	652	505
451	658	507
452	659	504
453	659	502
454	659	500
455	660	498
456	660	495
457	660	493
458	661	491
459	661	488
460	661	486
461	662	484
462	664	483
463	666	482
464	667	480
465	672	482
466	672	479
467	673	477
468	673	475
469	674	473
470	674	471
471	683	475
472	706	488
473	706	486
474	707	483
475	713	485
476	718	486
477	727	489
478	728	488
479	737	491
480	741	492
481	742	489
482	742	487
483	743	485
484	743	482
485	750	484
486	760	488
487	763	487
488	763	485
489	765	484
490	766	482
491	766	480
492	773	481
493	774	479
494	774	477
495	776	476
496	777	473
497	777	471
498	777	469
499	778	466
500	782	466
501	782	464
502	782	462
503	783	459
504	783	457
505	783	455
506	784	453
507	784	451
508	784	448
509	789	448
510	792	448
511	793	446
512	798	446
513	798	444
514	801	443
515	801	441
516	802	439
517	802	436
518	803	435
519	803	432
520	804	430
521	804	428
522	804	426
523	805	424
524	805	422
525	805	419
526	806	417
527	806	415
528	807	413
529	807	411
530	807	409
531	808	407
532	808	405
533	809	402
534	809	400
535	809	398
536	810	396
537	810	394
538	810	392
539	815	392
540	815	390
541	821	391
542	821	389
543	822	386
544	822	384
545	828	385
546	828	383
547	831	382
548	832	380
549	834	379
550	837	378
551	837	376
552	837	374
553	838	372
554	838	370
555	838	368
556	841	367
557	846	367
558	853	368
559	854	366
560	854	364
561	855	362
562	855	360
563	856	358
564	857	356
565	857	354
566	865	355
567	866	354
568	873	354
569	881	355
570	882	353
571	882	351
572	893	353
