iter	RMSE
0	8.269084223
1	8.129225212
2	7.977575257
3	7.841182383
4	7.70328416
5	7.561286562
6	7.432741616
7	7.304145101
8	7.20009176
9	7.080748733
10	6.964780499
11	6.850466722
12	6.747369286
13	6.637658126
14	6.536236583
15	6.44322299
16	6.34840228
17	6.260033305
18	6.171732543
19	6.089781836
20	6.000597055
21	5.917800536
22	5.835459477
23	5.764582299
24	5.693278541
25	5.633422772
26	5.571951016
27	5.50321026
28	5.433833177
29	5.369653102
30	5.310102539
31	5.255717904
32	5.202451058
33	5.143646338
34	5.095654267
35	5.043774291
36	4.993924438
37	4.945358509
38	4.903752794
39	4.859942619
40	4.816413879
41	4.77567762
42	4.736360361
43	4.702141029
44	4.663060887
45	4.625371499
46	4.595035041
47	4.559875325
48	4.52897857
49	4.499901599
50	4.467232482
51	4.43795514
52	4.410561453
53	4.384412639
54	4.361891281
55	4.339534367
56	4.316632181
57	4.293522033
58	4.270767568
59	4.250930472
60	4.229372552
61	4.209056413
62	4.190254448
63	4.167123871
64	4.147919499
65	4.129924285
66	4.112300494
67	4.09455984
68	4.080949238
69	4.062723018
70	4.046807653
71	4.031664544
72	4.015074217
73	3.999737046
74	3.986945158
75	3.972941407
76	3.957037278
77	3.941893781
78	3.92785307
79	3.915775864
80	3.906515238
81	3.890807922
82	3.879037395
83	3.865794507
84	3.851789891
85	3.838999926
86	3.82716125
87	3.816813916
88	3.806951084
89	3.793843939
90	3.784823782
91	3.774984859
92	3.765266011
93	3.75548717
94	3.745672064
95	3.735484177
96	3.728478369
97	3.720080876
98	3.713662129
99	3.705325444
100	3.698035786
101	3.690821935
102	3.682810375
103	3.675390914
104	3.669443416
105	3.660576566
106	3.651230665
107	3.645269539
108	3.63845602
109	3.631084976
110	3.623958886
111	3.616053212
112	3.606828505
113	3.600510435
114	3.591445397
115	3.584990608
116	3.577491993
117	3.56874872
118	3.561814139
119	3.555768987
120	3.55029257
121	3.542915648
122	3.535571287
123	3.529973526
124	3.524733337
125	3.519848545
126	3.512974947
127	3.507755204
128	3.505052195
129	3.502017655
130	3.495851539
131	3.490822608
132	3.485466016
133	3.480586169
134	3.474144998
135	3.469975858
136	3.464083461
137	3.458467267
138	3.45428187
139	3.448530319
140	3.445168261
141	3.439977561
142	3.434533818
143	3.429689919
144	3.422968611
145	3.41850152
146	3.413217214
147	3.408884182
148	3.404235723
149	3.398831439
150	3.394603728
151	3.390743655
152	3.385540515
153	3.381558189
154	3.37655478
155	3.373793048
156	3.369688008
157	3.365301869
158	3.360934293
159	3.357953249
160	3.355510752
161	3.350656522
162	3.349044392
163	3.347086808
164	3.344477509
165	3.342840326
166	3.339680258
167	3.336126003
168	3.332122705
169	3.327502861
170	3.324677458
171	3.322170853
172	3.319344847
173	3.31740419
174	3.314397104
175	3.31096076
176	3.307618261
177	3.304350435
178	3.300883955
179	3.296128095
180	3.293222057
181	3.290456361
182	3.28817732
183	3.285190473
184	3.281860746
185	3.280174632
186	3.278448811
187	3.277053218
188	3.273749292
189	3.270996579
190	3.268400898
191	3.266192358
192	3.262929035
193	3.261631441
194	3.25977405
195	3.25428863
196	3.250189169
197	3.247334853
198	3.245755757
199	3.242499905
200	3.240130782
201	3.236786079
202	3.234366584
203	3.230539027
204	3.228281532
205	3.224863111
206	3.221940238
207	3.218611701
208	3.214748515
209	3.212358756
210	3.207757137
211	3.206649189
212	3.203765765
213	3.201497187
214	3.198738056
215	3.196328809
216	3.192712416
217	3.189703099
218	3.187192976
219	3.184265693
220	3.180675159
221	3.178167113
222	3.173567984
223	3.171198813
224	3.16887891
225	3.166439357
226	3.163416095
227	3.162382267
228	3.160469416
229	3.15916986
230	3.157715979
231	3.155314399
232	3.152245676
233	3.150287114
234	3.14868598
235	3.146908362
236	3.144965605
237	3.142095953
238	3.140192828
239	3.136621392
240	3.133536654
241	3.1313746
242	3.129186062
243	3.126425578
244	3.124450807
245	3.121849587
246	3.119423155
247	3.116264869
248	3.114069413
249	3.112178819
250	3.109285155
251	3.10802821
252	3.104622482
253	3.102352258
254	3.100869554
255	3.098942269
256	3.096412231
257	3.094380001
258	3.091866839
259	3.088683355
260	3.086265236
261	3.084170535
262	3.082623567
263	3.079728475
264	3.078673718
265	3.076556974
266	3.074411425
267	3.071565784
268	3.069544579
269	3.067876882
270	3.065402413
271	3.063624748
272	3.061689779
273	3.059244687
274	3.058464992
275	3.055724143
276	3.052923606
277	3.050773653
278	3.04915524
279	3.047952304
280	3.046215433
281	3.043684225
282	3.041166632
283	3.03895929
284	3.037389913
285	3.036785086
286	3.034428248
287	3.031454956
288	3.029204429
289	3.027250351
290	3.026471542
291	3.024941184
292	3.021747802
293	3.020369943
294	3.018724947
295	3.015905786
296	3.014553324
297	3.012199925
298	3.009179708
299	3.007662234
300	3.005780947
301	3.003341301
302	3.001946845
303	2.999785611
304	2.997550226
305	2.995322021
306	2.99328943
307	2.990069248
308	2.987342187
309	2.985765169
310	2.984721623
311	2.981794153
312	2.979335498
313	2.976455218
314	2.975106535
315	2.972815683
316	2.969805589
317	2.967083719
318	2.965449369
319	2.963055713
320	2.961608965
321	2.959629136
322	2.958261497
323	2.955297494
324	2.953269828
325	2.95149415
326	2.949138192
327	2.946701359
328	2.94448826
329	2.942521954
330	2.940860901
331	2.939410352
332	2.938233429
333	2.935175326
334	2.933225034
335	2.930574372
336	2.929245424
337	2.927980561
338	2.925405962
339	2.923056559
340	2.921747448
341	2.919721732
342	2.918272901
343	2.916411229
344	2.913891773
345	2.911862308
346	2.909341769
347	2.907223977
348	2.90569944
349	2.904568852
350	2.902585696
351	2.901386965
352	2.900097723
353	2.898708431
354	2.897755472
355	2.895496008
356	2.894419513
357	2.892817499
358	2.891731065
359	2.890144023
360	2.887234674
361	2.885185915
362	2.88221772
363	2.879977939
364	2.878072507
365	2.876878264
366	2.874286207
367	2.872401548
368	2.870468567
369	2.8691623
370	2.867095956
371	2.865905796
372	2.865023161
373	2.863472545
374	2.860955937
375	2.859565873
376	2.857245749
377	2.85596507
378	2.854145081
379	2.852372751
380	2.851387083
381	2.848655512
382	2.847574312
383	2.846040564
384	2.844652083
385	2.842727448
386	2.840560229
387	2.838936617
388	2.837063406
389	2.835278743
390	2.833118512
391	2.831254676
392	2.829994915
393	2.828357814
394	2.827323952
395	2.825942519
396	2.82408447
397	2.82168763
398	2.820094132
399	2.818431964
400	2.817151346
401	2.816078182
402	2.81398082
403	2.811979772
404	2.809747781
405	2.808696801
406	2.80756436
407	2.805967806
408	2.804851026
409	2.802920731
410	2.801669928
411	2.799581432
412	2.797839301
413	2.795999644
414	2.794688617
415	2.793434368
416	2.791969133
417	2.790184889
418	2.788396514
419	2.786259951
420	2.785105501
421	2.783831924
422	2.780945361
423	2.780350041
424	2.778357408
425	2.776429657
426	2.775257147
427	2.774507902
428	2.772986838
429	2.770770254
430	2.769741925
431	2.768871861
432	2.768005261
433	2.766819135
434	2.765233599
435	2.763994195
436	2.762957246
437	2.761854798
438	2.759647174
439	2.758618661
440	2.757041725
441	2.754519612
442	2.753559329
443	2.752429167
444	2.751963333
445	2.750979155
446	2.750307884
447	2.748712677
448	2.747355673
449	2.74480589
450	2.744009102
451	2.741816985
452	2.740242313
453	2.738854215
454	2.737363743
455	2.735743027
456	2.734209606
457	2.732361967
458	2.731037238
459	2.729108225
460	2.727462887
461	2.725748543
462	2.724833458
463	2.723849094
464	2.722638226
465	2.720921948
466	2.71924596
467	2.718194017
468	2.716639965
469	2.714780414
470	2.713363779
471	2.711932603
472	2.710716292
473	2.709728734
474	2.707936995
475	2.70699672
476	2.705129904
477	2.702984534
478	2.701335211
479	2.700790429
480	2.699599213
481	2.698764954
482	2.697804983
483	2.696171715
484	2.695124048
485	2.693610943
486	2.692086011
487	2.691196756
488	2.689601812
489	2.688073704
490	2.686403893
491	2.685579958
492	2.684401021
493	2.68271073
494	2.681924516
495	2.680264337
496	2.679385564
497	2.677678763
498	2.676325714
499	2.67487189
500	2.6734246
501	2.672375812
502	2.670911056
503	2.669778756
504	2.668560674
505	2.667079918
506	2.665753619
507	2.664926807
508	2.663771801
509	2.6621923
510	2.660580208
511	2.658748364
512	2.657449658
513	2.656133207
514	2.655571561
515	2.654323334
516	2.653499111
517	2.652452375
518	2.650646481
519	2.649846372
520	2.648677168
521	2.647740386
522	2.646145592
523	2.645374193
524	2.644724817
525	2.643094338
526	2.641824123
527	2.641141546
528	2.639248549
529	2.638214374
530	2.636252325
531	2.635823541
532	2.635310914
533	2.633252583
534	2.632286969
535	2.631192815
536	2.63030625
537	2.628552928
538	2.62767981
539	2.627086433
540	2.62633832
541	2.625041617
542	2.623944051
543	2.62262051
544	2.621378077
545	2.620186226
546	2.61892109
547	2.618096084
548	2.616902037
549	2.616508647
550	2.614590615
551	2.613522566
552	2.612370815
553	2.611745478
554	2.611036661
555	2.609620999
556	2.609153995
557	2.607532566
558	2.606661259
559	2.605433099
560	2.60409137
561	2.60287736
562	2.601716901
563	2.600528289
564	2.600092557
565	2.599097908
