iter	Passed	Remaining
0	22	17657
1	27	11124
2	38	10203
3	58	11570
4	70	11150
5	75	10032
6	83	9442
7	89	8831
8	115	10192
9	132	10474
10	144	10346
11	156	10294
12	162	9855
13	174	9800
14	182	9531
15	187	9183
16	193	8934
17	201	8761
18	207	8548
19	216	8458
20	223	8292
21	231	8182
22	240	8112
23	246	7984
24	253	7872
25	262	7828
26	272	7789
27	280	7724
28	285	7593
29	290	7462
30	298	7397
31	305	7337
32	312	7271
33	320	7209
34	328	7182
35	337	7161
36	343	7084
37	349	7000
38	355	6936
39	361	6871
40	368	6814
41	374	6757
42	380	6701
43	387	6661
44	395	6638
45	401	6586
46	407	6534
47	414	6491
48	420	6448
49	427	6410
50	434	6381
51	441	6347
52	447	6309
53	454	6272
54	460	6238
55	466	6199
56	473	6178
57	479	6140
58	488	6137
59	494	6093
60	499	6047
61	503	5998
62	509	5957
63	515	5926
64	521	5899
65	526	5855
66	531	5813
67	536	5775
68	541	5733
69	545	5687
70	549	5644
71	555	5612
72	560	5582
73	565	5543
74	570	5516
75	575	5481
76	579	5445
77	586	5426
78	591	5397
79	596	5367
80	602	5349
81	607	5314
82	610	5277
83	615	5243
84	620	5221
85	626	5198
86	631	5173
87	636	5150
88	641	5123
89	645	5089
90	650	5067
91	655	5045
92	660	5022
93	666	5003
94	671	4984
95	676	4961
96	682	4943
97	687	4921
98	691	4895
99	697	4879
100	702	4859
101	707	4838
102	713	4825
103	718	4809
104	724	4793
105	730	4780
106	735	4763
107	740	4745
108	747	4736
109	753	4724
110	759	4712
111	765	4703
112	770	4686
113	776	4672
114	782	4658
115	786	4640
116	792	4626
117	796	4606
118	800	4583
119	805	4566
120	811	4554
121	816	4536
122	820	4517
123	826	4505
124	831	4488
125	835	4470
126	841	4457
127	846	4443
128	851	4429
129	856	4415
130	862	4404
131	867	4389
132	873	4382
133	880	4374
134	885	4360
135	891	4350
136	896	4337
137	902	4329
138	908	4318
139	913	4304
140	917	4288
141	923	4278
142	928	4268
143	935	4260
144	942	4259
145	948	4246
146	953	4235
147	958	4220
148	963	4211
149	970	4207
150	977	4200
151	982	4189
152	990	4190
153	1002	4204
154	1010	4205
155	1021	4217
156	1035	4240
157	1047	4258
158	1056	4257
159	1064	4259
160	1079	4283
161	1090	4294
162	1105	4321
163	1122	4353
164	1132	4358
165	1144	4372
166	1157	4385
167	1171	4405
168	1206	4504
169	1276	4730
170	1287	4734
171	1301	4752
172	1323	4794
173	1344	4835
174	1358	4850
175	1369	4853
176	1378	4850
177	1388	4852
178	1400	4859
179	1407	4849
180	1418	4849
181	1430	4858
182	1437	4845
183	1443	4833
184	1448	4815
185	1453	4797
186	1456	4775
187	1461	4759
188	1467	4743
189	1472	4727
190	1478	4714
191	1485	4704
192	1491	4690
193	1497	4676
194	1501	4659
195	1506	4643
196	1512	4629
197	1517	4613
198	1522	4598
199	1527	4583
200	1532	4566
201	1536	4549
202	1542	4536
203	1548	4523
204	1552	4506
205	1558	4494
206	1563	4478
207	1568	4463
208	1576	4457
209	1582	4444
210	1587	4430
211	1593	4419
212	1598	4405
213	1603	4390
214	1610	4382
215	1616	4370
216	1622	4358
217	1628	4347
218	1634	4335
219	1642	4329
220	1647	4316
221	1654	4307
222	1660	4296
223	1667	4286
224	1673	4275
225	1678	4262
226	1683	4248
227	1689	4239
228	1695	4226
229	1703	4221
230	1709	4210
231	1714	4198
232	1721	4188
233	1726	4176
234	1731	4163
235	1738	4154
236	1745	4145
237	1752	4138
238	1758	4127
239	1766	4121
240	1772	4111
241	1779	4103
242	1792	4108
243	1799	4099
244	1806	4091
245	1812	4082
246	1819	4073
247	1824	4061
248	1830	4051
249	1837	4042
250	1842	4030
251	1850	4024
252	1855	4012
253	1861	4002
254	1868	3993
255	1873	3981
256	1881	3974
257	1886	3963
258	1893	3956
259	1899	3945
260	1904	3933
261	1911	3924
262	1918	3916
263	1923	3905
264	1930	3898
265	1936	3888
266	1951	3895
267	1958	3888
268	1965	3880
269	1971	3870
270	1981	3867
271	1992	3867
272	1998	3856
273	2004	3847
274	2012	3842
275	2019	3834
276	2027	3828
277	2033	3818
278	2044	3817
279	2053	3814
280	2067	3817
281	2086	3832
282	2094	3826
283	2109	3832
284	2118	3828
285	2126	3821
286	2131	3810
287	2143	3810
288	2148	3798
289	2157	3794
290	2162	3783
291	2171	3777
292	2177	3767
293	2184	3759
294	2190	3749
295	2195	3738
296	2203	3731
297	2208	3720
298	2215	3711
299	2220	3701
300	2225	3690
301	2231	3679
302	2236	3669
303	2242	3658
304	2247	3647
305	2253	3638
306	2259	3627
307	2264	3616
308	2269	3605
309	2275	3596
310	2283	3591
311	2290	3582
312	2301	3580
313	2306	3570
314	2313	3561
315	2318	3551
316	2323	3540
317	2331	3533
318	2338	3525
319	2344	3517
320	2350	3507
321	2355	3497
322	2363	3490
323	2368	3480
324	2373	3468
325	2381	3461
326	2386	3451
327	2392	3442
328	2398	3433
329	2404	3424
330	2412	3418
331	2420	3411
332	2429	3406
333	2436	3399
334	2445	3394
335	2451	3385
336	2460	3380
337	2464	3368
338	2470	3358
339	2478	3353
340	2484	3344
341	2491	3336
342	2499	3329
343	2504	3320
344	2509	3309
345	2515	3301
346	2522	3293
347	2530	3286
348	2536	3278
349	2542	3269
350	2549	3261
351	2556	3254
352	2562	3245
353	2568	3236
354	2574	3226
355	2579	3217
356	2586	3209
357	2591	3199
358	2595	3188
359	2601	3179
360	2607	3170
361	2611	3159
362	2616	3149
363	2621	3140
364	2627	3130
365	2632	3121
366	2638	3112
367	2643	3103
368	2649	3094
369	2654	3085
370	2660	3076
371	2666	3068
372	2672	3059
373	2677	3050
374	2684	3042
375	2691	3034
376	2696	3025
377	2702	3017
378	2708	3008
379	2714	3000
380	2720	2991
381	2726	2983
382	2735	2978
383	2743	2972
384	2751	2966
385	2765	2965
386	2773	2960
387	2784	2956
388	2794	2952
389	2804	2948
390	2818	2948
391	2829	2945
392	2837	2938
393	2849	2936
394	2865	2938
395	2876	2934
396	2887	2930
397	2913	2943
398	2927	2942
399	2936	2936
400	2948	2933
401	2956	2927
402	2964	2920
403	2971	2912
404	2978	2904
405	2984	2896
406	2991	2888
407	2997	2880
408	3003	2871
409	3009	2862
410	3015	2853
411	3021	2845
412	3028	2838
413	3035	2830
414	3042	2822
415	3049	2814
416	3056	2807
417	3063	2799
418	3071	2792
419	3079	2786
420	3087	2779
421	3095	2772
422	3104	2766
423	3110	2757
