iter	RMSE
0	5.85997934
1	5.75826993
2	5.659359898
3	5.567946379
4	5.475076778
5	5.381607175
6	5.302073409
7	5.225012034
8	5.151600722
9	5.06759763
10	4.98496
11	4.907830308
12	4.83255888
13	4.77037558
14	4.695905141
15	4.632883505
16	4.56618682
17	4.500128973
18	4.426133809
19	4.360931831
20	4.30479101
21	4.249519108
22	4.184491753
23	4.123796332
24	4.059871085
25	4.002501745
26	3.953774191
27	3.907371797
28	3.857464748
29	3.80628379
30	3.753627515
31	3.716851154
32	3.685209909
33	3.645484795
34	3.596986953
35	3.566319654
36	3.522138623
37	3.478050198
38	3.434370954
39	3.392509309
40	3.356898443
41	3.317887921
42	3.284598762
43	3.252246673
44	3.209191204
45	3.179353405
46	3.140794709
47	3.110729144
48	3.078686158
49	3.044576468
50	3.018562375
51	2.989857605
52	2.964227576
53	2.935011407
54	2.909168507
55	2.88257146
56	2.858344614
57	2.837076765
58	2.811412414
59	2.788452661
60	2.760997293
61	2.735950495
62	2.7127309
63	2.687885342
64	2.664724616
65	2.644167283
66	2.627990133
67	2.611004698
68	2.592898595
69	2.573520527
70	2.552603019
71	2.534930077
72	2.514534166
73	2.498153772
74	2.481483493
75	2.464505768
76	2.448300144
77	2.434165957
78	2.418566281
79	2.403093268
80	2.388428515
81	2.374487473
82	2.359370539
83	2.345678688
84	2.329663807
85	2.3146145
86	2.298789603
87	2.28659654
88	2.273781182
89	2.258820185
90	2.246180386
91	2.234573798
92	2.223294532
93	2.207578401
94	2.197414052
95	2.184530767
96	2.175092168
97	2.16425486
98	2.15395186
99	2.145348791
100	2.133020749
101	2.121429055
102	2.113573192
103	2.102186152
104	2.093577937
105	2.084614057
106	2.076247027
107	2.068763486
108	2.061821326
109	2.051765612
110	2.044581688
111	2.036390843
112	2.029742354
113	2.024346732
114	2.014308804
115	2.008446172
116	2.0032267
117	1.99609084
118	1.988347911
119	1.980790899
120	1.973354288
121	1.968453163
122	1.961519012
123	1.954438187
124	1.948039619
125	1.94223742
126	1.936619159
127	1.930617149
128	1.923960018
129	1.917306632
130	1.91284433
131	1.906857437
132	1.901190877
133	1.896636311
134	1.890188762
135	1.883808645
136	1.880529238
137	1.875916263
138	1.872955513
139	1.868357453
140	1.863978741
141	1.859970086
142	1.854848706
143	1.849437388
144	1.846148338
145	1.843578954
146	1.839175118
147	1.83061027
148	1.826122753
149	1.821955712
150	1.817033462
151	1.811990276
152	1.808867628
153	1.802088224
154	1.796734658
155	1.791080505
156	1.78776562
157	1.785217703
158	1.78099319
159	1.777476759
160	1.773433709
161	1.76923454
162	1.766818674
163	1.763376826
164	1.759367741
165	1.755255693
166	1.750936288
167	1.746680243
168	1.743096295
169	1.73962466
170	1.73670793
171	1.733901589
172	1.731524259
173	1.728483755
174	1.724833129
175	1.723133703
176	1.721247292
177	1.716404605
178	1.712542536
179	1.70802137
180	1.702955823
181	1.698485853
182	1.695680082
183	1.6928805
184	1.689138666
185	1.684715694
186	1.680668094
187	1.676849659
188	1.673817556
189	1.67071505
190	1.666913112
191	1.662692301
192	1.658830904
193	1.656054064
194	1.653234612
195	1.650597423
196	1.64632374
197	1.643481999
198	1.640429008
199	1.638079918
200	1.634936076
201	1.631944776
202	1.628393955
203	1.62525379
204	1.622480373
205	1.618147666
206	1.616059287
207	1.613832131
208	1.610316498
209	1.606515201
210	1.603338133
211	1.601215638
212	1.5987378
213	1.595402417
214	1.591420461
215	1.588691425
216	1.585355139
217	1.581419098
218	1.578934639
219	1.576230458
220	1.572918399
221	1.570489453
222	1.566228826
223	1.565001074
224	1.561689789
225	1.558739465
226	1.554942665
227	1.552583954
228	1.548938907
229	1.545202865
230	1.541343999
231	1.538521514
232	1.536017284
233	1.53324066
234	1.529924197
235	1.526447091
236	1.523998507
237	1.521287686
238	1.519055471
239	1.516453552
240	1.513530401
241	1.510074015
242	1.507566139
243	1.504053587
244	1.50090045
245	1.498170134
246	1.496179273
247	1.49391349
248	1.492544344
249	1.489645067
250	1.487332679
251	1.484647897
252	1.482173514
253	1.479806339
254	1.477004276
255	1.473984675
256	1.47176535
257	1.469314416
258	1.467582887
259	1.465281973
260	1.463249665
261	1.45992075
262	1.456963067
263	1.454615713
264	1.452261068
265	1.449571415
266	1.446348027
267	1.443591892
268	1.441620664
269	1.439645629
270	1.437528166
271	1.43438216
272	1.431397622
273	1.429120921
274	1.427050878
275	1.42382409
276	1.421504468
277	1.417351703
278	1.414640635
279	1.412418135
280	1.41059971
281	1.408749845
282	1.405494556
283	1.403056145
284	1.399610781
285	1.397013765
286	1.393045967
287	1.38979475
288	1.3865060828289	1.38463401
290	1.382471534
291	1.3799551242292	1.377138552292	1.706517085
293	1.704923023
294	1.70094144
295	1.697369666
296	1.695191847
297	1.69267882
298	1.689231016
299	1.686500565
300	1.684696229
301	1.680825342
302	1.676489191
303	1.674060326
3305	1.347274457
306	1.345110382
307	1.342585865
308	1.340276584
309	1.338140532309	1.655163162
310	1.65063312
311	1.648555999
312	1.645346039
313	1.641688168
314	1.638465383
315	1.635038815
316	1.633687283
317	1.629821598
318	1.626376504
319	1.623639599
320	1.621654895
321	1.61930728
322	1.617301898
323	1.612734317
324	1.609728924
325	1.607567468
326	1.605728108
327	1.60231216
328	1.599540407
329	1.595364888
330	1.5923273
331	1.59037327
332	1.588726773
333	1.584700968
334	1.581813432
335	1.579471114
336	1.576713726
337	1.574956816
338	1.572764105
339	1.570916223
340	1.570060579
341	1.567327301
342	1.565503441
343	1.563103263
344	1.56044242
345	1.557510849
346	1.554288792
347	1.551603675
348	1.548502309
349	1.545304553
350	1.542726237
351	1.540676924
352	1.53790024
353	1.535318353
354	1.53306687
355	1.530956531
356	1.528399253
357	1.52581216
358	1.523647427
359	1.520931986
360	1.519045148
361	1.515748371
362	1.513150044
363	1.511146852
364	1.507645411
365	1.505105039
366	1.503029384
367	1.501065684
368	1.497693495
369	1.493966117
370	1.490535755
371	1.487530114
372	1.484344173
373	1.479258219
374	1.47622247
375	1.473918441
376	1.472324645
377	1.469449931
378	1.468206675
379	1.465545247
380	1.46366786
381	1.461585997
382	1.459898122
383	1.457722029
384	1.454669229
385	1.452895084
386	1.450903713
387	1.448727915
388	1.446533749
389	1.443735372
390	1.441053011
391	1.439078962
392	1.436503261
393	1.434070118
394	1.432039653
395	1.4305737
396	1.428235149
397	1.426225749
398	1.422537985
399	1.421150207
400	1.419555499
401	1.418120244
402	1.415241652
403	1.413346378
404	1.412281958
405	1.410138004
406	1.408558004
407	1.406853267
408	1.404553716
409	1.403578308
410	1.402165154
411	1.399798993
412	1.397572021
413	1.396360202
414	1.393459003
415	1.391984617
416	1.38949542
417	1.387929936
418	1.386980372
419	1.384337107
420	1.382219082
421	1.380738643
422	1.378452315
423	1.377378323
424	1.37448359
425	1.372220752
426	1.370383766
427	1.368676111
428	1.366903093
429	1.363963092
430	1.360814289
431	1.359589207
432	1.357674026
433	1.35499409
434	1.351468118
435	1.348862507
436	1.346652684
437	1.344487813
438	1.343485943
439	1.341387491
440	1.339245446
441	1.336936767
442	1.335627151
443	1.333940499
444	1.33180566
445	1.329495503
446	1.327447651
447	1.324357735
448	1.323163538
449	1.32181973
450	1.318832057
451	1.317294765
452	1.316140853
453	1.312901767
454	1.311436634
455	1.309591014
456	1.307859338
457	1.305268232
458	1.303663831
459	1.302471123
460	1.300435217
461	1.299353254
462	1.297605073
463	1.294508434
464	1.29313637
465	1.2466	1.066509911
467	1.065709182
468	1.064836095
469	1.063578529
470	1.061688354
471	1.060490106
472	1.058531845
473	1.057159216
474	1.055652713
475	1.054122704
476	1.052775783
477	1.051507171
478	1.050014309
479	1.048475472
480	1.047491059
481	1.046444625
482	1.044242447
483	1.042773713
484	1.041143857
485	1.039638807
486	1.038367336
487	1.037168915
488	1.036110642
489	1.034296709
490	1.033129674
491	1.032241103
492	1.031268653
493	1.029913521
494	1.028063439
495	1.027074262
496	1.025889874
497	1.025143898
498	1.023971365
499	1.022745899
500	1.021695108
501	1.020148616
502	1.019164583
503	1.017788212
504	1.016334379
505	1.014478235
506	1.013154763
507	1.011832842
508	1.010977206
509	1.00990885
510	1.008406358
511	1.006856781
512	1.005820017
513	1.004310596
514	1.00276829
515	1.001290116
516	0.999832658
517	0.9989956429
518	0.9971492641
519	0.9952354754
520	0.9942160466
521	0.9933867395
522	0.9921127456
523	0.9895341003
524	0.9882364367
525	0.9871811216
526	0.9859729312
527	0.9843195733
528	0.9833920212
529	0.9826340291
530	0.9815728694
531	0.9803698041
532	0.9789748256
533	0.977984043
534	0.9768701592
535	0.9758817419
536	0.9748676456
537	0.9737618868
538	0.9725995827
539	0.9715325344
540	0.9700224871
541	0.9691272161
542	0.968261914
543	0.9672134942
544	0.9658081435
545	0.9646610824
546	0.9631067877
547	0.961960449
548	0.9608260861
549	0.9593736223
550	0.9581712764
551	0.9571269511
552	0.9552060549
553	0.9535903507
554	0.9519360032
555	0.951076696
556	0.9497781143
557	0.9485953063
558	0.9477311658
559	0.9464074653
560	0.9451945563
561	0.9439040819
562	0.9429092757
563	0.9416041456
564	0.9398546407
565	0.9389732713
566	0.9378334135
567	0.9367295508
568	0.9356938508
569	0.934752604
570	0.9334528404
571	0.9325578312
572	0.9307510033
573	0.9297333969
574	0.9286498819
575	0.9275190446
576	0.9267650586
577	0.9258250591
578	0.9251037307
579	0.9241665146
580	0.92213334
581	0.9210130117
582	0.9199976127
583	0.9193618482
584	0.9183055862
585	0.9164016009
586	0.9152871658
587	0.9147416363
588	0.9142339477
589	0.9133754731
590	0.9123881698
591	0.9107630137
592	0.9094877008
593	0.9079158438
594	0.907142748
595	0.9062655316
596	0.9047560671
597	0.9038355477
598	0.9024830367
599	0.9015585295
600	0.9007282536
601	0.899489573
602	0.8977852862
603	0.8969762025
604	0.8959341176
605	0.8951927181
606	0.8941854413
607	0.8930114257
608	0.8921334112
609	0.8913353196
610	0.890251915
611	0.8890865794
612	0.8878582358
613	0.8871083932
614	0.8864871434
615	0.8855923417
616	0.8843315173
617	0.883738915
618	0.8828322687
619	0.881558802
620	0.8806746012
621	0.8793894787
622	0.8785129007
623	0.8776279008
624	0.8763885627
625	0.8751275607
626	0.8740097904
627	0.8730897256
628	0.8718518006
629	0.8710785168
630	0.8702863418
631	0.8689054359
632	0.8681334354
633	0.8672311258
634	0.8662053161
635	0.8651019353
636	0.8642083105
637	0.8623304889
638	0.8614122455
639	0.8609169665
640	0.8599984222
641	0.8592027483
642	0.8577854876
643	0.857144055
644	0.8560093339
645	0.8550933011
646	0.853819814
647	0.8528168655
648	0.8516560575
649	0.8503532711
650	0.8496651051
651	0.8484259214
652	0.8472792824
653	0.8464634884
654	0.8452343322
655	0.844344494
656	0.8426295858
657	0.8414444486
658	0.8399080667
659	0.8390929289
660	0.8378344019
661	0.8370704464
662	0.8360278245
663	0.8352350565
664	0.8341754371
665	0.8330305114
666	0.8323695301
667	0.83109324
668	0.8302242064
669	0.8293888668
670	0.8284384763
671	0.8273014234
672	0.8263809539
673	0.8256395602
674	0.824272051
675	0.8235309342
676	0.8226501795
677	0.8219120508
678	0.8214520287
679	0.8201924892
680	0.8191524578
681	0.8184645135
682	0.8177491449
683	0.8167262496
684	0.8161695596
685	0.8152264887
686	0.8144273297
687	0.8134861239
688	0.8126926653
689	0.8110932125
690	0.8100065078
691	0.8090623068
692	0.8075942514
693	0.8067405987
694	0.8057496369
695	0.8049184455
696	0.8038773179
697	0.8028290095
698	0.8020437409
699	0.8010123915
700	0.7997964534
701	0.7985416354
702	0.7976653447
703	0.7971199772
704	0.7963298663
705	0.7956822349
706	0.7950606112
707	0.7941079395
708	0.7935045785
709	0.7926372137
710	0.791285979
711	0.7903468753
712	0.7896957471
713	0.7887907233
714	0.7880022608
715	0.7874016317
716	0.7861524329
717	0.7850383808
718	0.7843929936
719	0.7835181483
720	0.7826335938
721	0.7812338584
722	0.7799026169
723	0.7794317766
724	0.7786376455
725	0.7775726341
726	0.7769789433
727	0.7757554723
728	0.7751776468
729	0.7744128809
730	0.7737090134
731	0.7729475352
732	0.7722537914
733	0.7713577108
734	0.7705215512
735	0.7697470706
736	0.7692959311
737	0.7682396838
738	0.7665767774
739	0.7658306398
740	0.7653245531
741	0.7636868494
742	0.7626578356
743	0.7615833585
744	0.7603950365
745	0.7594630434
746	0.7583106772
747	0.7569716278
748	0.7560537339
749	0.7550544353
750	0.7542029117
751	0.7532040387
752	0.7522657692
753	0.7515707529
754	0.7510268716
755	0.7496983338
756	0.7484072231
757	0.7475270318
758	0.7465011068
759	0.7456162014
760	0.7446485259
761	0.7437108767
762	0.7427260361
763	0.7421160732
764	0.7412022872
765	0.7401287353
766	0.739556677
767	0.7375611236
768	0.7366358341
769	0.7360067782
770	0.7354184039
771	0.7344169001
772	0.7335605958
773	0.7320864912
774	0.7312201394
775	0.7305534596
776	0.7295816423
777	0.7283960015
778	0.727795515
779	0.727080525
780	0.7263764232
781	0.7255559801
782	0.7248430495
783	0.7242555889
784	0.7232788366
785	0.7224356538
786	0.7216160045
787	0.7211715691
788	0.7203489107
789	0.7196616977
790	0.7190816222
791	0.7180080954
792	0.7164096514
793	0.7157968806
794	0.7151465981
795	0.71461137
796	0.7139331582
797	0.7128386783
798	0.7120729261
799	0.7117349568
