iter	Passed	Remaining
0	0	439
1	1	392
2	2	369
3	2	354
4	3	349
5	4	340
6	4	334
7	5	332
8	6	329
9	6	327
10	7	325
11	7	323
12	8	322
13	9	321
14	9	322
15	10	322
16	11	322
17	11	320
18	12	319
19	13	318
20	13	317
21	14	315
22	15	314
23	15	313
24	16	312
25	17	311
26	17	310
27	18	309
28	18	308
29	19	307
30	20	306
31	20	305
32	21	304
33	22	303
34	22	302
35	23	301
36	24	300
37	25	304
38	25	304
39	26	304
40	27	303
41	27	302
42	28	301
43	29	300
44	29	299
45	30	298
46	30	297
47	31	296
48	32	295
49	32	295
50	33	294
51	34	293
52	34	292
53	35	292
54	36	291
55	36	290
56	37	289
57	37	289
58	38	288
59	39	286
60	39	287
61	40	287
62	41	287
63	42	287
64	42	286
65	43	286
66	44	286
67	44	285
68	45	285
69	46	284
70	47	284
71	47	283
72	48	282
73	49	282
74	49	281
75	50	281
76	51	281
77	51	280
78	52	279
79	53	278
80	53	277
81	54	278
82	55	277
83	56	277
84	56	276
85	57	276
86	58	275
87	58	275
88	59	274
89	60	274
90	61	274
91	61	273
92	62	272
93	62	271
94	63	271
95	64	270
96	64	269
97	65	268
98	66	267
99	66	267
100	67	266
101	68	265
102	68	264
103	69	263
104	69	263
105	70	262
106	71	262
107	72	261
108	72	260
109	73	260
110	73	259
111	74	258
112	75	257
113	75	257
114	76	256
115	77	255
116	77	254
117	78	254
118	79	253
119	79	252
120	80	251
121	80	250
122	81	250
123	82	249
124	82	248
125	83	247
126	84	247
127	84	246
128	85	245
129	86	245
130	86	244
131	87	244
132	88	243
133	88	242
134	89	242
135	90	241
136	90	240
137	91	239
138	92	238
139	92	238
140	93	237
141	93	236
142	94	235
143	95	235
144	95	234
145	96	233
146	96	232
147	97	232
148	98	231
149	98	230
150	99	229
151	100	229
152	100	228
153	101	228
154	102	227
155	102	227
156	103	226
157	104	225
158	104	225
159	105	224
160	106	223
161	106	223
162	107	222
163	108	221
164	108	221
165	109	220
166	110	219
167	110	219
168	111	218
169	112	217
170	112	217
171	113	216
172	114	215
173	114	214
174	115	214
175	116	213
176	116	213
177	117	212
178	118	211
179	118	211
180	119	210
181	119	209
182	120	208
183	121	208
184	121	207
185	122	206
186	123	206
187	123	205
188	124	204
189	124	203
190	125	203
191	126	202
192	126	201
193	127	200
194	127	200
195	128	199
196	129	198
197	129	198
198	130	197
199	131	196
200	131	196
201	132	195
202	133	195
203	133	194
204	134	193
205	135	193
206	135	192
207	136	191
208	137	191
209	137	190
210	138	189
211	139	188
212	139	188
213	140	187
214	140	186
215	141	186
216	142	185
217	142	184
218	143	184
219	144	183
220	144	182
221	145	182
222	146	181
223	146	180
224	147	180
225	148	179
226	149	179
227	149	178
228	150	178
229	151	177
230	152	177
231	153	176
232	153	176
233	154	175
234	155	175
235	156	174
236	156	173
237	157	173
238	157	172
239	158	171
240	159	171
241	159	170
242	160	169
243	161	169
244	161	168
245	162	168
246	163	167
247	164	166
248	164	166
249	165	165
250	166	164
251	166	164
252	167	163
253	168	162
254	168	162
255	169	161
256	170	161
257	170	160
258	171	159
259	172	158
260	172	158
261	173	157
262	174	156
263	174	156
264	175	155
265	175	154
266	176	154
267	177	153
268	178	153
269	179	152
270	179	151
271	180	151
272	180	150
273	181	149
274	182	149
275	182	148
276	183	147
277	184	147
278	184	146
279	185	145
280	186	145
281	186	144
282	187	143
283	188	143
284	188	142
285	189	141
286	189	140
287	190	140
288	191	139
289	191	138
290	192	138
291	193	137
292	193	136
293	194	136
294	195	135
295	195	134
296	196	134
297	196	133
298	197	132
299	198	132
300	198	131
301	199	130
302	200	130
303	200	129
304	201	128
305	202	128
306	202	127
307	203	126
308	203	126
309	204	125
310	205	124
311	205	123
312	206	123
313	206	122
314	207	122
315	208	121
316	209	120
317	209	120
318	210	119
319	211	118
320	211	118
321	212	117
322	213	116
323	213	116
324	214	115
325	215	114
326	215	114
327	216	113
328	217	112
329	217	112
330	218	111
331	218	110
332	219	110
333	220	109
334	220	108
335	221	108
336	222	107
337	222	106
338	223	106
339	224	105
340	224	104
341	225	104
342	226	103
343	227	102
344	227	102
345	228	101
346	228	100
347	229	100
348	230	99
349	230	98
350	231	98
351	232	97
352	232	96
353	233	96
354	233	95
355	234	94
356	235	94
357	235	93
358	236	92
359	237	92
360	237	91
361	238	90
362	239	90
363	240	89
364	240	89
365	241	88
366	242	87
367	243	87
368	243	86
369	244	85
370	245	85
371	245	84
372	246	83
373	247	83
374	247	82
375	248	81
376	249	81
377	249	80
378	250	79
379	251	79
380	251	78
381	252	77
382	252	77
383	253	76
384	254	75
385	254	75
386	255	74
387	256	73
388	256	73
389	257	72
390	258	71
391	258	71
392	259	70
393	260	69
394	260	69
395	261	68
396	261	67
397	262	67
398	263	66
399	263	65
400	264	65
401	265	64
402	265	63
403	266	63
404	266	62
405	267	61
406	268	61
407	268	60
408	269	60
409	270	59
410	271	58
411	271	58
412	272	57
413	272	56
414	273	56
415	274	55
416	274	54
417	275	54
418	276	53
419	276	52
420	277	52
421	277	51
422	278	50
423	279	50
424	279	49
425	280	48
426	281	48
427	281	47
428	282	46
429	282	46
430	283	45
431	284	44
432	285	44
433	285	43
434	286	42
435	287	42
436	287	41
437	288	40
438	289	40
439	289	39
440	290	38
441	290	38
442	291	37
443	292	36
444	292	36
445	293	35
446	294	34
447	294	34
448	295	33
449	295	32
450	296	32
451	297	31
452	297	30
453	298	30
454	299	29
455	300	28
456	301	28
457	301	27
458	302	27
459	303	26
460	303	25
461	304	25
462	305	24
463	305	23
464	306	23
465	306	22
466	307	21
467	308	21
468	308	20
469	309	19
470	310	19
471	310	18
472	311	17
473	311	17
474	312	16
475	313	15
476	313	15
477	314	14
478	315	13
479	316	13
480	316	12
481	317	11
482	318	11
483	318	10
484	319	9
485	319	9
486	320	8
487	321	7
488	321	7
489	322	6
490	323	5
491	323	5
492	324	4
493	324	3
494	325	3
495	326	2
496	326	1
497	327	1
498	328	0
499	328	0
